source_id,tile_id,split,image_path,x,y,width,height,source_width,source_height,tile_index,overlap_with_previous_x,annotations
100000022,100000022__x0000_y0000,test,clean/100000022__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100000022,100000022__x0896_y0000,test,clean/100000022__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100000022,100000022__x1776_y0000,test,clean/100000022__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100000024,100000024__x0000_y0000,test,clean/100000024__x0000_y0000.bmp,0,0,1024,1024,2766,1024,0,,[]
100000024,100000024__x0896_y0000,test,clean/100000024__x0896_y0000.bmp,896,0,1024,1024,2766,1024,1,128,[]
100000024,100000024__x1742_y0000,test,clean/100000024__x1742_y0000.bmp,1742,0,1024,1024,2766,1024,2,178,[]
100000050,100000050__x0000_y0000,test,clean/100000050__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100000050,100000050__x0896_y0000,test,clean/100000050__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100000050,100000050__x1776_y0000,test,clean/100000050__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100000052,100000052__x0000_y0000,test,clean/100000052__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100000052,100000052__x0896_y0000,test,clean/100000052__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100000052,100000052__x1776_y0000,test,clean/100000052__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100000058,100000058__x0000_y0000,test,clean/100000058__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100000058,100000058__x0896_y0000,test,clean/100000058__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100000058,100000058__x1776_y0000,test,clean/100000058__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100000078,100000078__x0000_y0000,test,clean/100000078__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100000078,100000078__x0896_y0000,test,clean/100000078__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100000078,100000078__x1776_y0000,test,clean/100000078__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100006,100100006__x0000_y0000,test,clean/100100006__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100006,100100006__x0896_y0000,test,clean/100100006__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100006,100100006__x1776_y0000,test,clean/100100006__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100007,100100007__x0000_y0000,test,clean/100100007__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100007,100100007__x0896_y0000,test,clean/100100007__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100007,100100007__x1776_y0000,test,clean/100100007__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100028,100100028__x0000_y0000,test,clean/100100028__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100028,100100028__x0896_y0000,test,clean/100100028__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100028,100100028__x1776_y0000,test,clean/100100028__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100065,100100065__x0000_y0000,test,clean/100100065__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100065,100100065__x0896_y0000,test,clean/100100065__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100065,100100065__x1776_y0000,test,clean/100100065__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100067,100100067__x0000_y0000,test,clean/100100067__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100067,100100067__x0896_y0000,test,clean/100100067__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100067,100100067__x1776_y0000,test,clean/100100067__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100082,100100082__x0000_y0000,test,clean/100100082__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100082,100100082__x0896_y0000,test,clean/100100082__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100082,100100082__x1776_y0000,test,clean/100100082__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100100084,100100084__x0000_y0000,test,clean/100100084__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100100084,100100084__x0896_y0000,test,clean/100100084__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
100100084,100100084__x1776_y0000,test,clean/100100084__x1776_y0000.bmp,1776,0,1024,1024,2800,1024,2,144,[]
100500012,100500012__x0000_y0000,test,clean/100500012__x0000_y0000.bmp,0,0,1024,1024,2800,1024,0,,[]
100500012,100500012__x0896_y0000,test,clean/100500012__x0896_y0000.bmp,896,0,1024,1024,2800,1024,1,128,[]
