job_id,variant,seed,split,data_yaml,images,labels,empty_labels,boxes,missing_labels,common_eval_differing_images,status
vnwoodknot_baseline_seed42,baseline,42,train,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_baseline_seed42,baseline,42,val,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_baseline_seed42,baseline,42,test,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_baseline_seed43,baseline,43,train,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_baseline_seed43,baseline,43,val,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_baseline_seed43,baseline,43,test,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_baseline_seed44,baseline,44,train,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_baseline_seed44,baseline,44,val,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_baseline_seed44,baseline,44,test,/workspace/data/datasets_frcnn_rebuilt/canonical/vnwoodknot/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_a1_crop_seed42,a1_crop,42,train,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed42/A1_defect_preserving_crop/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_a1_crop_seed42,a1_crop,42,val,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed42/A1_defect_preserving_crop/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_a1_crop_seed42,a1_crop,42,test,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed42/A1_defect_preserving_crop/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_a1_crop_seed43,a1_crop,43,train,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed43/A1_defect_preserving_crop/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_a1_crop_seed43,a1_crop,43,val,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed43/A1_defect_preserving_crop/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_a1_crop_seed43,a1_crop,43,test,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed43/A1_defect_preserving_crop/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_a1_crop_seed44,a1_crop,44,train,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed44/A1_defect_preserving_crop/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_a1_crop_seed44,a1_crop,44,val,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed44/A1_defect_preserving_crop/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_a1_crop_seed44,a1_crop,44,test,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed44/A1_defect_preserving_crop/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_a2_colorjitter_seed42,a2_colorjitter,42,train,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed42/A2_texture_aware_color_jitter/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_a2_colorjitter_seed42,a2_colorjitter,42,val,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed42/A2_texture_aware_color_jitter/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_a2_colorjitter_seed42,a2_colorjitter,42,test,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed42/A2_texture_aware_color_jitter/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_a2_colorjitter_seed43,a2_colorjitter,43,train,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed43/A2_texture_aware_color_jitter/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_a2_colorjitter_seed43,a2_colorjitter,43,val,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed43/A2_texture_aware_color_jitter/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_a2_colorjitter_seed43,a2_colorjitter,43,test,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed43/A2_texture_aware_color_jitter/dataset.yaml,229,229,75,155,0,0,PASS
vnwoodknot_a2_colorjitter_seed44,a2_colorjitter,44,train,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed44/A2_texture_aware_color_jitter/dataset.yaml,1059,1059,350,714,0,0,PASS
vnwoodknot_a2_colorjitter_seed44,a2_colorjitter,44,val,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed44/A2_texture_aware_color_jitter/dataset.yaml,226,226,75,151,0,0,PASS
vnwoodknot_a2_colorjitter_seed44,a2_colorjitter,44,test,/workspace/data/datasets_frcnn_rebuilt/variants/vnwoodknot/augmentation/seed44/A2_texture_aware_color_jitter/dataset.yaml,229,229,75,155,0,0,PASS
