dataset,detector,variant,seed,split,n_images,n_instances,precision,recall,mAP50,mAP50_95
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,42,val,226,151,0.8913345024133537,0.8683281300811931,0.9042187202683291,0.49131692465084803
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,42,test,229,155,0.836477210829103,0.7889558767661133,0.8540593003601755,0.42134440834886
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,43,val,226,151,0.847425187444699,0.8310470465343209,0.8673251511076057,0.4993469591306735
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,43,test,229,155,0.8200576024512058,0.7810626249167223,0.8536515671382264,0.46261136194977437
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,44,val,226,151,0.892359682559469,0.8798683276314038,0.8811966282856967,0.49852724126191816
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,44,test,229,155,0.8834587704761712,0.8643404397068621,0.8898096466959367,0.4384738383953016
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,42,val,226,151,0.7479892694536301,0.8010846360929419,0.7567624900160297,0.36237935474813454
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,42,test,229,155,0.7465318677981672,0.6836223932539529,0.6354273898338376,0.33997355767768306
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,43,val,226,151,0.7966845172826913,0.8298987840829222,0.811242239588638,0.38271268189342444
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,43,test,229,155,0.7384849085368538,0.7744527703621875,0.7531708586450476,0.3539232850581847
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,44,val,226,151,0.8006813134055397,0.7633380133380133,0.7492814405381354,0.35167062783729247
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,44,test,229,155,0.7513821748709648,0.7175216522318455,0.6968288098810331,0.33885178812502204
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,42,val,226,151,0.8874335152122441,0.8693401193401193,0.878235864680099,0.5021245510341232
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,42,test,229,155,0.9089352665078632,0.8056295802798135,0.8772327285501964,0.4554128530711026
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,43,val,226,151,0.9075131690945581,0.8888206388206388,0.9118461024856042,0.5061085849619722
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,43,test,229,155,0.8674349432772555,0.8343248641412526,0.885702883820249,0.4499267911855302
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,44,val,226,151,0.9066006206782009,0.8909258000008596,0.9126853814576821,0.5159852171596899
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,44,test,229,155,0.8516709017953822,0.8446035976015989,0.8949476699252943,0.4584297357509044
