dataset,variant,variant_label,n_seeds,seeds,complete,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std
vnwoodknot,baseline,Baseline,3,42 43 44,true,0.783773,0.028654,0.780867,0.010538,0.801267,0.005327,0.464563,0.004492
vnwoodknot,p2_illumination,P2 illumination,3,42 43 44,true,0.753487,0.020302,0.795860,0.008082,0.803130,0.013748,0.456407,0.014260
vnwoodknot,a1_crop,A1 crop,3,42 43 44,true,0.823227,0.017333,0.857570,0.008007,0.872657,0.008198,0.472110,0.002309
vnwoodknot,a2_colorjitter,A2 color jitter,3,42 43 44,true,0.763283,0.018704,0.809990,0.014988,0.816387,0.016317,0.463730,0.008436
vnwoodknot,p4_a4_combined,P4+A4 combined,3,42 43 44,true,0.840013,0.015793,0.832940,0.019448,0.856753,0.017081,0.472430,0.010198
vsb_rarefirst,baseline,Baseline,3,42 43 44,true,0.804337,0.034658,0.774260,0.033420,0.824633,0.002689,0.480547,0.005760
vsb_rarefirst,p1_clahe,P1 CLAHE,3,42 43 44,true,0.791677,0.008017,0.774810,0.026035,0.816760,0.009096,0.471860,0.003751
vsb_rarefirst,p2_illumination,P2 illumination,3,42 43 44,true,0.798760,0.017775,0.768440,0.005994,0.816040,0.001264,0.471767,0.003772
vsb_rarefirst,p3_unsharp,P3 unsharp,3,42 43 44,true,0.787137,0.003032,0.787497,0.000637,0.823227,0.005965,0.480767,0.005205
vsb_rarefirst,a1_crop,A1 crop,3,42 43 44,true,0.818227,0.006897,0.795263,0.001476,0.829063,0.001305,0.481240,0.001993
vsb_rarefirst,a2_colorjitter,A2 color jitter,3,42 43 44,true,0.798187,0.010070,0.767390,0.016457,0.813363,0.010805,0.474480,0.003937
vsb_rarefirst,p4_a4_combined,P4+A4 combined,3,42 43 44,true,0.798237,0.003655,0.789870,0.001577,0.826873,0.003286,0.475360,0.002667
