variant,variant_label,threshold,fp_rate_mean,fp_rate_std,ci_lower,ci_upper,knotfree_fp_images_mean,num_knotfree_images
baseline,Baseline,0.25,0.021930,0.007597,0.000000,0.065789,1.666667,76.000000
baseline,Baseline,0.50,0.017544,0.007597,0.000000,0.052632,1.333333,76.000000
baseline,Baseline,0.75,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
p2_illumination,P2 illumination,0.25,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
p2_illumination,P2 illumination,0.50,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
p2_illumination,P2 illumination,0.75,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
a1_crop,A1 crop,0.25,0.078947,0.013158,0.026316,0.144737,6.000000,76.000000
a1_crop,A1 crop,0.50,0.004386,0.007597,0.000000,0.039474,0.333333,76.000000
a1_crop,A1 crop,0.75,0.000000,0.000000,0.000000,0.000000,0.000000,76.000000
a2_colorjitter,A2 color jitter,0.25,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
a2_colorjitter,A2 color jitter,0.50,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
a2_colorjitter,A2 color jitter,0.75,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
p4_a4_combined,P4+A4 combined,0.25,0.021930,0.007597,0.000000,0.065789,1.666667,76.000000
p4_a4_combined,P4+A4 combined,0.50,0.013158,0.000000,0.000000,0.039474,1.000000,76.000000
p4_a4_combined,P4+A4 combined,0.75,0.000000,0.000000,0.000000,0.000000,0.000000,76.000000
