variant,variant_label,epsilon,tau,retained_AP50_mean,retained_AP50_std,retained_recall_mean,retained_recall_std
baseline,Baseline,0.00,0.6,0.3574116666666667,0.03745110337938436,0.3569893333333334,0.036685543969434804
baseline,Baseline,0.01,0.25,0.7736923333333333,0.015138734238149924,0.8903226666666667,0.01706925356696459
baseline,Baseline,0.02,0.15,0.79639,0.01057442012594545,0.9311826666666666,0.009854610815924349
baseline,Baseline,0.05,0.05,0.8068210000000001,0.008261869280011621,0.9548386666666667,0.0064515000064584455
p2_illumination,P2 illumination,0.00,0.25,0.7804843333333333,0.024799214913648632,0.8645160000000001,0.012902999999999998
p2_illumination,P2 illumination,0.01,0.2,0.7926726666666667,0.030925476962099307,0.8838706666666666,0.023261491403891832
p2_illumination,P2 illumination,0.02,0.1,0.8138500000000001,0.028396133064204354,0.9225806666666667,0.019354500002152813
p2_illumination,P2 illumination,0.05,0.05,0.8232396666666667,0.023768608296097875,0.944086,0.007449550523353741
a1_crop,A1 crop,0.00,0.5,0.4900896666666667,0.025249785827474544,0.5505373333333333,0.037248329967037905
a1_crop,A1 crop,0.01,0.45,0.5430596666666667,0.019243523074877273,0.623656,0.024425381000099063
a1_crop,A1 crop,0.02,0.4,0.5722503333333333,0.01777587011466199,0.6645163333333334,0.022349228920330425
a1_crop,A1 crop,0.05,0.3,0.6016523333333333,0.014377691064052449,0.7075270000000001,0.016236117639386583
a2_colorjitter,A2 colour jitter,0.00,0.2,0.7876693333333332,0.044255015222382774,0.9118279999999999,0.03553254530708433
a2_colorjitter,A2 colour jitter,0.01,0.15,0.800169,0.042801100137730086,0.9354840000000001,0.03352384338049564
a2_colorjitter,A2 colour jitter,0.02,0.1,0.8021583333333333,0.041540896503726686,0.939785,0.026074292857141898
a2_colorjitter,A2 colour jitter,0.05,0.05,0.8065453333333332,0.04073821113320187,0.9505373333333332,0.018624164983518952
p4_a4_combined,P4+A4 combined,0.00,0.45,0.680241,0.07669314848798427,0.7419353333333333,0.0682773922271006
p4_a4_combined,P4+A4 combined,0.01,0.25,0.7467946666666666,0.06746923650326374,0.823656,0.05214784340699044
p4_a4_combined,P4+A4 combined,0.02,0.25,0.7467946666666666,0.06746923650326374,0.823656,0.05214784340699044
p4_a4_combined,P4+A4 combined,0.05,0.15,0.7611916666666666,0.05204590687396402,0.8451613333333334,0.029564705314501793
