variant,seed,threshold,ap50,precision,recall,fp_image_rate,mean_preds_per_knotfree,mean_conf_fp,num_positive_images,num_knotfree_images,knotfree_fp_images,tp50,fp50_positive,fn50
baseline,42,0.05,0.796319,0.395664,0.948052,0.039474,0.039474,0.385947,153,76,3,146,223,8
baseline,42,0.10,0.787890,0.473510,0.928571,0.039474,0.039474,0.385947,153,76,3,143,159,11
baseline,42,0.15,0.784034,0.544061,0.922078,0.026316,0.026316,0.525586,153,76,2,142,119,12
baseline,42,0.20,0.765712,0.595652,0.889610,0.026316,0.026316,0.525586,153,76,2,137,93,17
baseline,42,0.25,0.755303,0.653659,0.870130,0.026316,0.026316,0.525586,153,76,2,134,71,20
baseline,42,0.30,0.734290,0.724719,0.837662,0.013158,0.013158,0.794126,153,76,1,129,49,25
baseline,42,0.35,0.710360,0.760736,0.805195,0.013158,0.013158,0.794126,153,76,1,124,39,30
baseline,42,0.40,0.665157,0.827338,0.746753,0.013158,0.013158,0.794126,153,76,1,115,24,39
baseline,42,0.45,0.562359,0.840708,0.616883,0.013158,0.013158,0.794126,153,76,1,95,18,59
baseline,42,0.50,0.433434,0.853659,0.454545,0.013158,0.013158,0.794126,153,76,1,70,12,84
baseline,42,0.55,0.365617,0.890625,0.370130,0.013158,0.013158,0.794126,153,76,1,57,7,97
baseline,42,0.60,0.314018,0.941176,0.311688,0.013158,0.013158,0.794126,153,76,1,48,3,106
baseline,42,0.65,0.269286,0.953488,0.266234,0.013158,0.013158,0.794126,153,76,1,41,2,113
baseline,42,0.70,0.211111,0.969697,0.207792,0.013158,0.013158,0.794126,153,76,1,32,1,122
baseline,42,0.75,0.165641,0.961538,0.162338,0.013158,0.013158,0.794126,153,76,1,25,1,129
baseline,42,0.80,0.146377,0.956522,0.142857,0.000000,0.000000,nan,153,76,0,22,1,132
baseline,42,0.85,0.073333,1.000000,0.071429,0.000000,0.000000,nan,153,76,0,11,0,143
baseline,42,0.90,0.046667,1.000000,0.045455,0.000000,0.000000,nan,153,76,0,7,0,147
baseline,42,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,153,76,0,0,0,154
baseline,43,0.05,0.810075,0.388889,0.954545,0.078947,0.092105,0.218579,153,76,6,147,231,7
baseline,43,0.10,0.807808,0.463492,0.948052,0.052632,0.065789,0.275436,153,76,4,146,169,8
baseline,43,0.15,0.804893,0.523466,0.941558,0.026316,0.026316,0.515844,153,76,2,145,132,9
baseline,43,0.20,0.790460,0.568548,0.915584,0.026316,0.026316,0.515844,153,76,2,141,107,13
baseline,43,0.25,0.783372,0.617778,0.902597,0.013158,0.013158,0.791559,153,76,1,139,86,15
baseline,43,0.30,0.771213,0.669951,0.883117,0.013158,0.013158,0.791559,153,76,1,136,67,18
baseline,43,0.35,0.744446,0.710383,0.844156,0.013158,0.013158,0.791559,153,76,1,130,53,24
baseline,43,0.40,0.712075,0.778481,0.798701,0.013158,0.013158,0.791559,153,76,1,123,35,31
baseline,43,0.45,0.588475,0.818182,0.642857,0.013158,0.013158,0.791559,153,76,1,99,22,55
baseline,43,0.50,0.462981,0.815217,0.487013,0.013158,0.013158,0.791559,153,76,1,75,17,79
baseline,43,0.55,0.397591,0.849315,0.402597,0.013158,0.013158,0.791559,153,76,1,62,11,92
