variant,variant_label,threshold,n_seeds,seeds,ap50_mean,ap50_std,precision_mean,precision_std,recall_mean,recall_std,fp_image_rate_mean,fp_image_rate_std,mean_preds_per_knotfree_mean,mean_preds_per_knotfree_std,mean_conf_fp_mean,mean_conf_fp_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,num_knotfree_images_mean,knotfree_fp_images_mean
baseline,Baseline,0.05,3,42 43 44,0.805897,0.008317,0.395576,0.006643,0.954545,0.006494,0.057018,0.020099,0.070175,0.027390,0.313747,0.086015,0.013158,0.131579,76.000000,4.333333
baseline,Baseline,0.10,3,42 43 44,0.800727,0.011137,0.463944,0.009349,0.941558,0.011247,0.043860,0.007597,0.052632,0.013158,0.376216,0.096284,0.000000,0.092105,76.000000,3.333333
baseline,Baseline,0.15,3,42 43 44,0.795442,0.010566,0.520779,0.024735,0.930736,0.009919,0.030702,0.007597,0.030702,0.007597,0.540150,0.034014,0.000000,0.078947,76.000000,2.333333
baseline,Baseline,0.20,3,42 43 44,0.782546,0.014588,0.570237,0.024614,0.906926,0.014996,0.030702,0.007597,0.030702,0.007597,0.540150,0.034014,0.000000,0.078947,76.000000,2.333333
baseline,Baseline,0.25,3,42 43 44,0.772675,0.015179,0.625567,0.025121,0.889610,0.017180,0.021930,0.007597,0.021930,0.007597,0.688162,0.142520,0.000000,0.065789,76.000000,1.666667
baseline,Baseline,0.30,3,42 43 44,0.756990,0.019867,0.683844,0.035998,0.863636,0.023413,0.017544,0.007597,0.017544,0.007597,0.777676,0.026301,0.000000,0.052632,76.000000,1.333333
baseline,Baseline,0.35,3,42 43 44,0.735257,0.021806,0.730300,0.026774,0.833333,0.024584,0.017544,0.007597,0.017544,0.007597,0.777676,0.026301,0.000000,0.052632,76.000000,1.333333
baseline,Baseline,0.40,3,42 43 44,0.701434,0.032299,0.791371,0.031562,0.787879,0.036924,0.017544,0.007597,0.017544,0.007597,0.777676,0.026301,0.000000,0.052632,76.000000,1.333333
baseline,Baseline,0.45,3,42 43 44,0.603300,0.050030,0.819630,0.020393,0.662338,0.057716,0.017544,0.007597,0.017544,0.007597,0.777676,0.026301,0.000000,0.052632,76.000000,1.333333
baseline,Baseline,0.50,3,42 43 44,0.495294,0.082883,0.835953,0.019399,0.528138,0.100667,0.017544,0.007597,0.017544,0.007597,0.777676,0.026301,0.000000,0.052632,76.000000,1.333333
baseline,Baseline,0.55,3,42 43 44,0.407855,0.048197,0.863505,0.023495,0.417749,0.056733,0.017544,0.007597,0.017544,0.007597,0.777676,0.026301,0.000000,0.052632,76.000000,1.333333
baseline,Baseline,0.60,3,42 43 44,0.355244,0.037780,0.912586,0.026485,0.352814,0.036924,0.013158,0.000000,0.013158,0.000000,0.835969,0.074708,0.000000,0.039474,76.000000,1.000000
baseline,Baseline,0.65,3,42 43 44,0.311772,0.037245,0.947783,0.036178,0.307359,0.035763,0.013158,0.000000,0.013158,0.000000,0.835969,0.074708,0.000000,0.039474,76.000000,1.000000
baseline,Baseline,0.70,3,42 43 44,0.264691,0.047177,0.975084,0.022706,0.259740,0.045455,0.013158,0.000000,0.013158,0.000000,0.835969,0.074708,0.000000,0.039474,76.000000,1.000000
baseline,Baseline,0.75,3,42 43 44,0.221263,0.051282,0.977920,0.019854,0.216450,0.049595,0.013158,0.000000,0.013158,0.000000,0.835969,0.074708,0.000000,0.039474,76.000000,1.000000
