variant,variant_label,threshold,fp_rate_mean,fp_rate_std,ci_lower,ci_upper,knotfree_fp_images_mean,num_knotfree_images
baseline,Baseline,0.25,0.054607,0.006777,0.043005,0.064257,326.333333,5976.000000
baseline,Baseline,0.50,0.017180,0.003922,0.010710,0.022925,102.666667,5976.000000
baseline,Baseline,0.75,0.000669,0.000168,0.000167,0.001506,4.000000,5976.000000
p1_clahe,P1 CLAHE,0.25,0.058847,0.003263,0.051205,0.066767,351.666667,5976.000000
p1_clahe,P1 CLAHE,0.50,0.019355,0.003832,0.012885,0.025268,115.666667,5976.000000
p1_clahe,P1 CLAHE,0.75,0.000614,0.000387,0.000000,0.001506,3.666667,5976.000000
p2_illumination,P2 illumination,0.25,0.056839,0.004608,0.048193,0.065930,339.666667,5976.000000
p2_illumination,P2 illumination,0.50,0.017738,0.001171,0.013889,0.021586,106.000000,5976.000000
p2_illumination,P2 illumination,0.75,0.000279,0.000256,0.000000,0.001004,1.666667,5976.000000
p3_unsharp,P3 unsharp,0.25,0.055165,0.006837,0.043507,0.064926,329.666667,5976.000000
p3_unsharp,P3 unsharp,0.50,0.018686,0.004378,0.011881,0.025435,111.666667,5976.000000
p3_unsharp,P3 unsharp,0.75,0.000446,0.000256,0.000000,0.001171,2.666667,5976.000000
a1_crop,A1 crop,0.25,0.081939,0.011701,0.068106,0.100736,489.666667,5976.000000
a1_crop,A1 crop,0.50,0.028670,0.010413,0.019076,0.044344,171.333333,5976.000000
a1_crop,A1 crop,0.75,0.000669,0.000442,0.000000,0.001841,4.000000,5976.000000
a2_colorjitter,A2 colour jitter,0.25,0.057954,0.002132,0.051372,0.064926,346.333333,5976.000000
a2_colorjitter,A2 colour jitter,0.50,0.019523,0.001866,0.015060,0.023929,116.666667,5976.000000
a2_colorjitter,A2 colour jitter,0.75,0.000781,0.000097,0.000167,0.001506,4.666667,5976.000000
p4_a4_combined,P4+A4 combined,0.25,0.101963,0.009878,0.086011,0.116466,609.333333,5976.000000
p4_a4_combined,P4+A4 combined,0.50,0.039547,0.007283,0.028782,0.050535,236.333333,5976.000000
p4_a4_combined,P4+A4 combined,0.75,0.001617,0.000421,0.000502,0.003012,9.666667,5976.000000
