variant,variant_label,epsilon,tau,retained_AP50_mean,retained_AP50_std,retained_recall_mean,retained_recall_std
baseline,Baseline,0.00,0.8,0.22013366666666667,0.0025378184200870947,0.19522599999999998,0.007813291559899705
baseline,Baseline,0.01,0.6,0.5769903333333334,0.011803748783049085,0.5473143333333333,0.018462318552482367
baseline,Baseline,0.02,0.5,0.6522423333333333,0.00987452390413495,0.6493323333333333,0.009429522380976316
baseline,Baseline,0.05,0.3,0.7269390000000001,0.006699001343483955,0.7621483333333333,0.007383155242396883
p1_clahe,P1 CLAHE,0.00,0.85,0.08988366666666665,0.0086581310531392,0.08212533333333333,0.003445378982540718
p1_clahe,P1 CLAHE,0.01,0.6,0.5836283333333333,0.008490283171563482,0.5643653333333334,0.014790610411113321
p1_clahe,P1 CLAHE,0.02,0.5,0.6552956666666666,0.010094337240915475,0.6649616666666667,0.01229548455057111
p1_clahe,P1 CLAHE,0.05,0.3,0.724203,0.0075822360158465186,0.7644216666666667,0.005675949377270161
p2_illumination,P2 illumination,0.00,0.8,0.20551533333333336,0.03804527597919791,0.180449,0.028381824483285082
p2_illumination,P2 illumination,0.01,0.6,0.563848,0.03461366568279063,0.537653,0.03478978998211976
p2_illumination,P2 illumination,0.02,0.5,0.6459103333333333,0.018523895711575696,0.648764,0.012026488639665349
p2_illumination,P2 illumination,0.05,0.3,0.72906,0.0021826653431068987,0.7678316666666666,0.006048098571727605
p3_unsharp,P3 unsharp,0.00,0.85,0.10298866666666666,0.016966932849909362,0.09349233333333333,0.017561239487386228
p3_unsharp,P3 unsharp,0.01,0.6,0.5833693333333333,0.020210377936429914,0.5547033333333333,0.026882417903405446
p3_unsharp,P3 unsharp,0.02,0.5,0.6524096666666667,0.01364812413239757,0.6550156666666667,0.01747842162019597
p3_unsharp,P3 unsharp,0.05,0.3,0.7284640000000001,0.008944028342978314,0.7649900000000001,0.009035694937302828
a1_crop,A1 crop,0.00,0.8,0.22099533333333335,0.012948728792176224,0.2011936666666667,0.01118096643109768
a1_crop,A1 crop,0.01,0.65,0.5349943333333332,0.009732240458051438,0.491901,0.018343845534674576
a1_crop,A1 crop,0.02,0.6,0.5959516666666667,0.008291769734702824,0.5666380000000001,0.01631698909112831
a1_crop,A1 crop,0.05,0.4,0.7103836666666666,0.007880148306556999,0.7377096666666666,0.01457624822556662
a2_colorjitter,A2 colour jitter,0.00,0.85,0.11188333333333333,0.013070581063339658,0.10059666666666667,0.013956576239656106
a2_colorjitter,A2 colour jitter,0.01,0.6,0.5798420000000001,0.006996284799806277,0.5589656666666666,0.009880379867866048
a2_colorjitter,A2 colour jitter,0.02,0.5,0.6500360000000001,0.004288577503088874,0.657289,0.005185966062364831
a2_colorjitter,A2 colour jitter,0.05,0.3,0.7205119999999999,0.0016883936152449748,0.7661266666666666,0.0017747003502939312
p4_a4_combined,P4+A4 combined,0.00,0.9,0.016796000000000002,0.0028894326432709933,0.021028666666666668,0.0038443941438584743
p4_a4_combined,P4+A4 combined,0.01,0.7,0.47441400000000006,0.03210677920626734,0.43705599999999994,0.030265027556570973
p4_a4_combined,P4+A4 combined,0.02,0.6,0.6098956666666666,0.011047414961579594,0.5930663333333334,0.01837028530898023
p4_a4_combined,P4+A4 combined,0.05,0.45,0.6881456666666667,0.0043770926804596365,0.7141233333333333,0.0064550258197263125
