variant,seed,threshold,ap50,precision,recall,fp_image_rate,mean_preds_per_knotfree,mean_conf_fp,num_positive_images,num_knotfree_images,knotfree_fp_images,tp50,fp50_positive,fn50
baseline,42,0.05,0.765798,0.437144,0.850810,0.117972,0.251673,0.178068,696,5976,705,998,1285,175
baseline,42,0.10,0.758723,0.531996,0.836317,0.089859,0.150100,0.251665,696,5976,537,981,863,192
baseline,42,0.15,0.750789,0.589649,0.815857,0.072122,0.103079,0.310807,696,5976,431,957,666,216
baseline,42,0.20,0.741144,0.647303,0.797954,0.057564,0.076305,0.359069,696,5976,344,936,510,237
baseline,42,0.25,0.732040,0.681614,0.777494,0.046854,0.057731,0.402685,696,5976,280,912,426,261
baseline,42,0.30,0.719304,0.710611,0.753623,0.035977,0.042169,0.450390,696,5976,215,884,360,289
baseline,42,0.35,0.712075,0.746552,0.738278,0.029116,0.033300,0.483889,696,5976,174,866,294,307
baseline,42,0.40,0.690835,0.772812,0.707587,0.022088,0.024933,0.521421,696,5976,132,830,244,343
baseline,42,0.45,0.663234,0.797970,0.670077,0.015395,0.017236,0.564709,696,5976,92,786,199,387
baseline,42,0.50,0.642564,0.825083,0.639386,0.012718,0.013722,0.589381,696,5976,76,750,159,423
baseline,42,0.55,0.599703,0.845679,0.583973,0.008534,0.008869,0.625109,696,5976,51,685,125,488
baseline,42,0.60,0.565405,0.866295,0.530264,0.004685,0.005020,0.665752,696,5976,28,622,96,551
baseline,42,0.65,0.508629,0.892157,0.465473,0.002677,0.002677,0.704502,696,5976,16,546,66,627
baseline,42,0.70,0.418119,0.908714,0.373402,0.001339,0.001339,0.729027,696,5976,8,438,44,735
baseline,42,0.75,0.317837,0.924119,0.290708,0.000502,0.000502,0.761666,696,5976,3,341,28,832
baseline,42,0.80,0.219919,0.938017,0.193521,0.000000,0.000000,nan,696,5976,0,227,15,946
baseline,42,0.85,0.101251,0.925000,0.094629,0.000000,0.000000,nan,696,5976,0,111,9,1062
baseline,42,0.90,0.008620,1.000000,0.011083,0.000000,0.000000,nan,696,5976,0,13,0,1160
baseline,42,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
baseline,43,0.05,0.777416,0.446222,0.855925,0.135542,0.298025,0.187437,696,5976,810,1004,1246,169
baseline,43,0.10,0.770505,0.540615,0.839727,0.104250,0.173193,0.270989,696,5976,623,985,837,188
baseline,43,0.15,0.763210,0.607683,0.822677,0.085174,0.123494,0.330833,696,5976,509,965,623,208
baseline,43,0.20,0.753784,0.652595,0.803922,0.069612,0.093708,0.380653,696,5976,416,943,502,230
baseline,43,0.25,0.739588,0.685116,0.780904,0.057564,0.073126,0.425027,696,5976,344,916,421,257
