dataset,variant,seed,split,export_validator_mAP50,offline_mAP50,delta_mAP50,status
vnwoodknot,baseline,42,val,0.8042696308084325,0.8042696308084325,0.0,PASS
vnwoodknot,baseline,42,test,0.797001543965995,0.797001543965995,0.0,PASS
vnwoodknot,baseline,43,val,0.8172794407295086,0.8172794407295086,0.0,PASS
vnwoodknot,baseline,43,test,0.8461961618087996,0.8461961618087996,0.0,PASS
vnwoodknot,baseline,44,val,0.8283960420813815,0.8283960420813815,0.0,PASS
vnwoodknot,baseline,44,test,0.8168969978175085,0.8168969978175085,0.0,PASS
vnwoodknot,p1_clahe,42,val,0.827933767990789,0.827933767990789,0.0,PASS
vnwoodknot,p1_clahe,42,test,0.8042620838760153,0.8042620838760153,0.0,PASS
vnwoodknot,p1_clahe,43,val,0.8448960073214906,0.8448960073214906,0.0,PASS
vnwoodknot,p1_clahe,43,test,0.7888156491644437,0.7888156491644437,0.0,PASS
vnwoodknot,p1_clahe,44,val,0.7665135711190829,0.7665135711190829,0.0,PASS
vnwoodknot,p1_clahe,44,test,0.8256680221559608,0.8256680221559608,0.0,PASS
vnwoodknot,p2_illumination,42,val,0.8363249689127273,0.8363249689127273,0.0,PASS
vnwoodknot,p2_illumination,42,test,0.877264010528859,0.877264010528859,0.0,PASS
vnwoodknot,p2_illumination,43,val,0.8079355191635174,0.8079355191635174,0.0,PASS
vnwoodknot,p2_illumination,43,test,0.8071768004770083,0.8071768004770083,0.0,PASS
vnwoodknot,p2_illumination,44,val,0.839464185495101,0.839464185495101,0.0,PASS
vnwoodknot,p2_illumination,44,test,0.8516963560891817,0.8516963560891817,0.0,PASS
vnwoodknot,p3_unsharp,42,val,0.8258637471275894,0.8258637471275894,0.0,PASS
vnwoodknot,p3_unsharp,42,test,0.8191163939513146,0.8191163939513146,0.0,PASS
vnwoodknot,p3_unsharp,43,val,0.8275446263295039,0.8275446263295039,0.0,PASS
vnwoodknot,p3_unsharp,43,test,0.8686672415639729,0.8686672415639729,0.0,PASS
vnwoodknot,p3_unsharp,44,val,0.8212160259587061,0.8212160259587061,0.0,PASS
vnwoodknot,p3_unsharp,44,test,0.811009277318001,0.811009277318001,0.0,PASS
vnwoodknot,a1_crop,42,val,0.8081310686191123,0.8081310686191123,0.0,PASS
vnwoodknot,a1_crop,42,test,0.8103136899170325,0.8103136899170325,0.0,PASS
vnwoodknot,a1_crop,43,val,0.843494182387891,0.843494182387891,0.0,PASS
vnwoodknot,a1_crop,43,test,0.8271096131749343,0.8271096131749343,0.0,PASS
vnwoodknot,a1_crop,44,val,0.8213971941479359,0.8213971941479359,0.0,PASS
vnwoodknot,a1_crop,44,test,0.7996290250511158,0.7996290250511158,0.0,PASS
vnwoodknot,a2_colorjitter,42,val,0.8241585743919109,0.8241585743919109,0.0,PASS
vnwoodknot,a2_colorjitter,42,test,0.7947321596478949,0.7947321596478949,0.0,PASS
vnwoodknot,a2_colorjitter,43,val,0.8228400402755742,0.8228400402755742,0.0,PASS
vnwoodknot,a2_colorjitter,43,test,0.8246247653540772,0.8246247653540772,0.0,PASS
vnwoodknot,a2_colorjitter,44,val,0.8217973041356026,0.8217973041356026,0.0,PASS
vnwoodknot,a2_colorjitter,44,test,0.8477752464847853,0.8477752464847853,0.0,PASS
vnwoodknot,p4_a4_combined,42,val,0.7808059632358795,0.7808059632358795,0.0,PASS
vnwoodknot,p4_a4_combined,42,test,0.8627544681307717,0.8627544681307717,0.0,PASS
vnwoodknot,p4_a4_combined,43,val,0.8025911483500003,0.8025911483500003,0.0,PASS
vnwoodknot,p4_a4_combined,43,test,0.8216585864594032,0.8216585864594032,0.0,PASS
vnwoodknot,p4_a4_combined,44,val,0.8510928983018561,0.8510928983018561,0.0,PASS
vnwoodknot,p4_a4_combined,44,test,0.8705090353510592,0.8705090353510592,0.0,PASS
vsb_rarefirst,baseline,42,val,0.8196431816239885,0.8196431816239885,0.0,PASS
vsb_rarefirst,baseline,42,test,0.8058668873698391,0.8058668873698391,0.0,PASS
vsb_rarefirst,baseline,43,val,0.8312590787423767,0.8312590787423769,2.220446049250313e-16,PASS
vsb_rarefirst,baseline,43,test,0.8077313771549094,0.8077313771549095,1.1102230246251565e-16,PASS
vsb_rarefirst,baseline,44,val,0.8246078286723924,0.8246078286723924,0.0,PASS
vsb_rarefirst,baseline,44,test,0.8157037604602413,0.8157037604602413,0.0,PASS
vsb_rarefirst,p1_clahe,42,val,0.8308037697985008,0.8308037697985009,1.1102230246251565e-16,PASS
vsb_rarefirst,p1_clahe,42,test,0.8083975980285223,0.8083975980285223,0.0,PASS
vsb_rarefirst,p1_clahe,43,val,0.8144031661141952,0.8144031661141952,0.0,PASS
vsb_rarefirst,p1_clahe,43,test,0.7955952083114798,0.7955952083114799,1.1102230246251565e-16,PASS
vsb_rarefirst,p1_clahe,44,val,0.8270288121624244,0.8270288121624243,-1.1102230246251565e-16,PASS
vsb_rarefirst,p1_clahe,44,test,0.7978787347128043,0.7978787347128045,1.1102230246251565e-16,PASS
vsb_rarefirst,p2_illumination,42,val,0.8198875834683484,0.8198875834683483,-1.1102230246251565e-16,PASS
vsb_rarefirst,p2_illumination,42,test,0.808741062018637,0.808741062018637,0.0,PASS
vsb_rarefirst,p2_illumination,43,val,0.8184028258409917,0.8184028258409917,0.0,PASS
vsb_rarefirst,p2_illumination,43,test,0.8145610591270468,0.8145610591270469,1.1102230246251565e-16,PASS
vsb_rarefirst,p2_illumination,44,val,0.8207400086423735,0.8207400086423735,0.0,PASS
vsb_rarefirst,p2_illumination,44,test,0.8099366473617476,0.8099366473617475,-1.1102230246251565e-16,PASS
vsb_rarefirst,p3_unsharp,42,val,0.8295888591174163,0.8295888591174163,0.0,PASS
vsb_rarefirst,p3_unsharp,42,test,0.8172869259548998,0.8172869259548998,0.0,PASS
