dataset,variant,variant_label,seed,split,threshold,n_clean_images,fp_images,fp_image_rate,n_predictions,mean_predictions_per_clean_image,mean_false_confidence
vnwoodknot,baseline,Baseline,42,val,0.05,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.1,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.15,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.2,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.25,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.3,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.35,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.4,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.45,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.5,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.55,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.6,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.65,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.7,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.75,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.8,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.85,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.9,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,val,0.95,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.05,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.1,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.15,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.2,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.25,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.3,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.35,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.4,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.45,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.5,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.55,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.6,75,0,0.0,0,0.0,nan
vnwoodknot,baseline,Baseline,42,test,0.65,75,0,0.0,0,0.0,nan
