dataset,variant,variant_label,split,threshold,n_seeds,n_clean_images,fp_image_rate_mean,fp_image_rate_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,mean_predictions_per_clean_image_mean,mean_predictions_per_clean_image_std
vnwoodknot,baseline,Baseline,val,0.05,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.008888888888888889,0.015396007178390023
vnwoodknot,baseline,Baseline,val,0.1,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,val,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.05,3,75,0.017777778208255768,0.015396007551194895,0.0,0.04000000283122063,0.02666666666666667,0.02666666666666667
vnwoodknot,baseline,Baseline,test,0.1,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.008888888888888889,0.015396007178390023
vnwoodknot,baseline,Baseline,test,0.15,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.008888888888888889,0.015396007178390023
vnwoodknot,baseline,Baseline,test,0.2,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.008888888888888889,0.015396007178390023
vnwoodknot,baseline,Baseline,test,0.25,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,baseline,Baseline,test,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,baseline,Baseline,test,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.05,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p1_clahe,P1 CLAHE,val,0.1,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.05,3,75,0.013333333656191826,0.013333333656191826,0.0,0.031111110001802444,0.013333333333333334,0.013333333333333334
