dataset,variant,variant_label,n_seeds,n_clean_images_per_seed,mean_max_confidence_mean,mean_max_confidence_std,p90_max_confidence_mean,p90_max_confidence_std,p95_max_confidence_mean,p95_max_confidence_std
vnwoodknot,baseline,Baseline,3,75,0.0033494818552086752,0.00283192360233216,0.0019572769757360293,0.0013339001046024077,0.007195809662031607,0.002709984204163119
vnwoodknot,p1_clahe,P1 CLAHE,3,75,0.0039352243911061026,0.0026859856544187754,0.0033285594002033314,0.0023144747200144074,0.010695897197971732,0.0029386314164952174
vnwoodknot,p2_illumination,P2 illumination,3,75,0.002120250411745575,0.0011229868987360444,0.0033429793082177714,0.0021137049691593124,0.008496265353945385,0.006531133837329386
vnwoodknot,p3_unsharp,P3 unsharp,3,75,0.0021772320361600982,0.0008230204071786823,0.002740823881079756,0.0016884244419360839,0.007291687171285332,0.002912550323305805
vnwoodknot,a1_crop,A1 crop,3,75,0.004403116681302587,0.0042321372713903195,0.004570488973210265,0.003144546207293845,0.012269170380507894,0.005976746450930809
vnwoodknot,a2_colorjitter,A2 colour jitter,3,75,0.0023029663041234014,0.0009221955501083761,0.0021312267519533667,0.0006204920949928999,0.004449662077240639,0.0003112384076723452
vnwoodknot,p4_a4_combined,P4+A4 combined,3,75,0.002325936966161761,0.0021062450777847167,0.0038010802585631723,0.0021240730859271384,0.011753538871804865,0.009520290422615003
vsb_rarefirst,baseline,Baseline,3,2988,0.03619571893126288,0.003891015174644103,0.07240800000727202,0.012730966028695341,0.29086027592420594,0.05561080201410235
vsb_rarefirst,p1_clahe,P1 CLAHE,3,2988,0.03763236574451379,0.002797601145599002,0.07568904335300147,0.00955804057705157,0.3360545511047049,0.035509221763300014
vsb_rarefirst,p2_illumination,P2 illumination,3,2988,0.0385831146951679,0.0022957558861050236,0.09180493031938886,0.020396539984757194,0.3325233663121864,0.022763338495970977
vsb_rarefirst,p3_unsharp,P3 unsharp,3,2988,0.0366738831279922,0.004120700518538538,0.07727024008830415,0.017057125278517514,0.30889165947834657,0.050410312902785144
vsb_rarefirst,a1_crop,A1 crop,3,2988,0.05610543904081216,0.003409727737994368,0.22302733212709452,0.02747958038639556,0.44883737663428,0.05636809753195475
vsb_rarefirst,a2_colorjitter,A2 colour jitter,3,2988,0.036852431611514525,0.00114529092328238,0.08129738469918588,0.018967005775594216,0.31901522974173235,0.025859335137741787
vsb_rarefirst,p4_a4_combined,P4+A4 combined,3,2988,0.06322298325474447,0.010337088737365932,0.26310530801614185,0.062067260227407606,0.46056318233410526,0.06723800286310477
