dataset,variant,seed,split,corrected_precision,deprecated_precision,delta_precision,corrected_recall,deprecated_recall,delta_recall,corrected_mAP50,deprecated_mAP50,delta_mAP50,corrected_mAP50_95,deprecated_mAP50_95,delta_mAP50_95
vnwoodknot,a1_crop,42,test,0.805475,0.755967,0.04950800000000011,0.747827,0.727682,0.02014499999999997,0.810314,0.715849,0.09446500000000002,0.412544,0.310665,0.101879
vnwoodknot,a1_crop,42,val,0.808298,0.773021,0.035277,0.749824,0.742278,0.007546000000000053,0.808131,0.759933,0.048198000000000074,0.436216,0.344569,0.09164699999999998
vnwoodknot,a1_crop,43,test,0.831993,0.778898,0.053095,0.785105,0.689707,0.0953980000000001,0.82711,0.755712,0.07139799999999996,0.405797,0.341753,0.06404400000000005
vnwoodknot,a1_crop,43,val,0.843474,0.7661,0.07737399999999994,0.791466,0.769832,0.021634000000000042,0.843494,0.793993,0.04950100000000002,0.463268,0.389691,0.073577
vnwoodknot,a1_crop,44,test,0.773368,0.705825,0.06754300000000002,0.766656,0.703614,0.06304200000000004,0.799629,0.683543,0.11608600000000002,0.392921,0.313189,0.07973200000000003
vnwoodknot,a1_crop,44,val,0.786925,0.746357,0.04056799999999994,0.808723,0.731758,0.07696499999999995,0.821397,0.755325,0.06607200000000002,0.443091,0.356171,0.08692
vnwoodknot,a2_colorjitter,42,test,0.753011,0.753011,0.0,0.806525,0.806525,0.0,0.794732,0.794732,0.0,0.436906,0.436906,0.0
vnwoodknot,a2_colorjitter,42,val,0.786206,0.786206,0.0,0.803879,0.803879,0.0,0.824159,0.824159,0.0,0.477964,0.477964,0.0
vnwoodknot,a2_colorjitter,43,test,0.792632,0.792632,0.0,0.774734,0.774734,0.0,0.824625,0.824625,0.0,0.438356,0.438356,0.0
vnwoodknot,a2_colorjitter,43,val,0.814152,0.814152,0.0,0.790892,0.790892,0.0,0.82284,0.82284,0.0,0.482676,0.482676,0.0
vnwoodknot,a2_colorjitter,44,test,0.804291,0.796207,0.00808399999999998,0.826116,0.850189,-0.02407300000000001,0.847775,0.854065,-0.006290000000000018,0.448155,0.45519,-0.007034999999999958
vnwoodknot,a2_colorjitter,44,val,0.767264,0.799239,-0.03197500000000009,0.829853,0.809582,0.020270999999999928,0.821797,0.834527,-0.012730000000000019,0.465997,0.465716,0.0002809999999999757
vnwoodknot,p4_a4_combined,42,test,0.800138,0.800413,-0.0002750000000000252,0.844354,0.805381,0.038973000000000035,0.862754,0.84012,0.022634000000000043,0.439777,0.409966,0.029810999999999976
vnwoodknot,p4_a4_combined,42,val,0.809156,0.794914,0.014241999999999977,0.789575,0.796475,-0.006900000000000017,0.780806,0.818339,-0.03753300000000004,0.430295,0.420503,0.009791999999999967
vnwoodknot,p4_a4_combined,43,test,0.777153,0.839855,-0.06270200000000004,0.780216,0.818538,-0.03832199999999997,0.821659,0.82645,-0.00479099999999999,0.418108,0.415834,0.0022739999999999982
vnwoodknot,p4_a4_combined,43,val,0.823229,0.778603,0.044625999999999943,0.794854,0.783466,0.011387999999999954,0.802591,0.786511,0.016080000000000094,0.444125,0.430284,0.013840999999999992
vnwoodknot,p4_a4_combined,44,test,0.832092,0.829479,0.0026130000000000875,0.831196,0.74059,0.09060600000000008,0.870509,0.805995,0.06451399999999996,0.437817,0.392453,0.045364000000000015
