dataset,variant,split,n_seeds,corrected_precision_mean,corrected_precision_std,deprecated_precision_mean,deprecated_precision_std,delta_precision_mean,delta_precision_std,corrected_recall_mean,corrected_recall_std,deprecated_recall_mean,deprecated_recall_std,delta_recall_mean,delta_recall_std,corrected_mAP50_mean,corrected_mAP50_std,deprecated_mAP50_mean,deprecated_mAP50_std,delta_mAP50_mean,delta_mAP50_std,corrected_mAP50_95_mean,corrected_mAP50_95_std,deprecated_mAP50_95_mean,deprecated_mAP50_95_std,delta_mAP50_95_mean,delta_mAP50_95_std
vnwoodknot,a1_crop,test,3,0.803612,0.029356868583007928,0.7468966666666667,0.03737136661045901,0.056715333333333375,0.009547010858553202,0.7665293333333334,0.018639322797068942,0.707001,0.019212729712354826,0.05952833333333337,0.03774934293909416,0.812351,0.01385328000871995,0.718368,0.036150382584420895,0.093983,0.022347898760286197,0.403754,0.009969750197472352,0.321869,0.017266231088457006,0.08188500000000003,0.019009165236800882
vnwoodknot,a1_crop,val,3,0.8128989999999999,0.028553883291069167,0.761826,0.013836275907916798,0.05107299999999996,0.022930451827210013,0.7833376666666667,0.030279124860757303,0.747956,0.019661819142693764,0.03538166666666668,0.03669466097858555,0.8243406666666667,0.0178643310071587,0.7697503333333333,0.02112080920166962,0.05459033333333337,0.00996473553755106,0.447525,0.014060510054759758,0.363477,0.023431430771508596,0.084048,0.00937109988208427
vnwoodknot,a2_colorjitter,test,3,0.7833113333333334,0.02688058258917268,0.7806166666666666,0.02397393960811059,0.00269466666666666,0.004667299576128923,0.8024583333333334,0.0259312709741218,0.8104826666666667,0.03788286684417285,-0.008024333333333336,0.013898553030201868,0.8223773333333333,0.026592836748518055,0.824474,0.02966678821510679,-0.0020966666666666725,0.0036315331932027565,0.441139,0.00611913531473198,0.443484,0.010163584603868833,-0.002344999999999986,0.004061659143748993
vnwoodknot,a2_colorjitter,val,3,0.7892073333333333,0.02358764798222439,0.7998656666666667,0.013983535401797847,-0.010658333333333362,0.018460774857338335,0.808208,0.019837970183463786,0.801451,0.009578643588734252,0.006756999999999976,0.011703467306742862,0.822932,0.001183684501883829,0.8271753333333334,0.006400796226512252,-0.004243333333333339,0.007349668926783947,0.47554566666666664,0.0085984598814749,0.475452,0.008754599248395084,9.366666666665857e-05,0.00016223542564227083
vnwoodknot,p4_a4_combined,test,3,0.8031276666666667,0.02759124879981577,0.823249,0.02044572121496327,-0.020121333333333324,0.036904200524240274,0.8185886666666667,0.03387667931384855,0.7881696666666667,0.041727031674123845,0.030419000000000047,0.0648882538137682,0.8516406666666667,0.02625281429358255,0.8241883333333333,0.017174552638521117,0.02745233333333334,0.034902836680323436,0.43190066666666665,0.011984933889401871,0.4060843333333333,0.012164221813718014,0.02581633333333333,0.021820977208487562
vnwoodknot,p4_a4_combined,val,3,0.8258876666666667,0.018207171728012374,0.8101430000000001,0.04131605863341757,0.01574466666666663,0.028160085321840427,0.7910716666666666,0.003299267241878586,0.7741606666666667,0.028145355040100916,0.01691099999999997,0.02699954449615771,0.8114966666666666,0.035979838331117224,0.8094273333333334,0.02000883335762821,0.0020693333333333306,0.03478201394878299,0.4440596666666667,0.013732116564220315,0.418794,0.012432907584310286,0.02526566666666667,0.023382447526581453
vsb_rarefirst,a1_crop,test,3,0.777586,0.008434360141706078,0.785972,0.01290842914532979,-0.008386000000000005,0.014721217578719473,0.7703823333333334,0.008835541881137405,0.7650910000000001,0.006920821049557623,0.005291333333333315,0.0049720090841966075,0.8044893333333333,0.00448736373980685,0.8043986666666666,0.003593355302963148,9.066666666668333e-05,0.007498926078668425,0.46537300000000004,0.003294939756657173,0.46764533333333336,0.0035767385050256965,-0.0022723333333333207,0.0037358086585548597
vsb_rarefirst,a1_crop,val,3,0.7958186666666667,0.007780522883028684,0.792657,0.015404517746427534,0.0031616666666666924,0.01637078117663708,0.7604126666666666,0.013500883761196288,0.7567243333333333,0.003442986252271922,0.0036883333333333304,0.014761514229012371,0.8100350000000001,0.008759042927169594,0.8094406666666667,0.00422196451114091,0.0005943333333333634,0.0054211844031847286,0.466661,0.0032449241901776555,0.4640026666666667,0.0044667985552667685,0.0026583333333333368,0.0014197367126806604
vsb_rarefirst,a2_colorjitter,test,3,0.7666633333333334,0.022026223696615187,0.784655,0.008520550393020404,-0.017991666666666666,0.018124938409090772,0.7789583333333333,0.0055714860076404304,0.7653666666666666,0.019523454236720857,0.013591666666666632,0.0171177587415331,0.8003979999999999,0.0012879021701977238,0.7999133333333334,0.002432350577801876,0.00048466666666665176,0.0022033486635875846,0.468578,0.0041184986342112494,0.470661,0.0009465817450173109,-0.002082999999999983,0.003173972117079778
vsb_rarefirst,a2_colorjitter,val,3,0.7701706666666667,0.006929904063790059,0.7878806666666667,0.010974495721140605,-0.01771000000000004,0.015540208621508312,0.7953563333333333,0.01068219309567723,0.7898613333333333,0.01355055763920194,0.00549499999999999,0.009801298944527735,0.8230783333333334,0.005207131872089814,0.8228226666666667,0.0027883748552397715,0.00025566666666665405,0.002475422051556739,0.4775736666666667,0.0014871591486230738,0.475487,0.0024319506573941916,0.0020866666666666625,0.002589721671016637
vsb_rarefirst,p4_a4_combined,test,3,0.7791143333333334,0.0008966255256980815,0.7983483333333333,0.00633850150535072,-0.01923400000000001,0.005476271724449031,0.737875,0.016425739922450992,0.7385726666666667,0.005307880587704825,-0.0006976666666667075,0.016447617284376926,0.7934786666666667,0.004080255057387098,0.791201,0.0033460496111085746,0.002277666666666659,0.0069545537120172226,0.46336533333333335,0.0013142181452610077,0.4556483333333333,0.0035950011590169815,0.007716999999999992,0.0027807186121576676
vsb_rarefirst,p4_a4_combined,val,3,0.770625,0.011960663317726142,0.79596,0.008835571684956202,-0.025334999999999996,0.019267994213202348,0.76125,0.02278235701151227,0.7632413333333333,0.01396733676594553,-0.001991333333333345,0.02345785679326512,0.8058773333333333,0.004160891771403468,0.8077083333333334,0.004870877162620003,-0.00183099999999999,0.007818145112493062,0.462151,0.002756691495252938,0.46171833333333334,0.001946980825106732,0.0004326666666666738,0.001893492100150738
