dataset,run,variant,seed,split,data_yaml,n_images,n_instances,precision,recall,mAP50,mAP50_95
vnwoodknot,baseline_seed42,baseline,42,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.812335,0.783699,0.804270,0.475978
vnwoodknot,baseline_seed42,baseline,42,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.763282,0.792344,0.797002,0.422678
vnwoodknot,baseline_seed43,baseline,43,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.765352,0.775773,0.817279,0.462449
vnwoodknot,baseline_seed43,baseline,43,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.754125,0.839524,0.846196,0.453797
vnwoodknot,baseline_seed44,baseline,44,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.771828,0.820417,0.828396,0.489615
vnwoodknot,baseline_seed44,baseline,44,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.746158,0.821322,0.816897,0.450338
vnwoodknot,p1_clahe_seed42,p1_clahe,42,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P1_CLAHE_luminance/dataset.yaml,226,151,0.807285,0.811717,0.827934,0.487723
vnwoodknot,p1_clahe_seed42,p1_clahe,42,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P1_CLAHE_luminance/dataset.yaml,229,155,0.761862,0.788334,0.804262,0.435197
vnwoodknot,p1_clahe_seed43,p1_clahe,43,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P1_CLAHE_luminance/dataset.yaml,226,151,0.821613,0.789975,0.844896,0.489891
vnwoodknot,p1_clahe_seed43,p1_clahe,43,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P1_CLAHE_luminance/dataset.yaml,229,155,0.795527,0.764588,0.788816,0.424584
vnwoodknot,p1_clahe_seed44,p1_clahe,44,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P1_CLAHE_luminance/dataset.yaml,226,151,0.718621,0.777905,0.766514,0.461723
vnwoodknot,p1_clahe_seed44,p1_clahe,44,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P1_CLAHE_luminance/dataset.yaml,229,155,0.731800,0.828024,0.825668,0.442660
vnwoodknot,p2_illumination_seed42,p2_illumination,42,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P2_illumination_normalization/dataset.yaml,226,151,0.782893,0.797385,0.836325,0.479650
vnwoodknot,p2_illumination_seed42,p2_illumination,42,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P2_illumination_normalization/dataset.yaml,229,155,0.841042,0.820199,0.877264,0.451683
vnwoodknot,p2_illumination_seed43,p2_illumination,43,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P2_illumination_normalization/dataset.yaml,226,151,0.704605,0.799577,0.807936,0.489135
vnwoodknot,p2_illumination_seed43,p2_illumination,43,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P2_illumination_normalization/dataset.yaml,229,155,0.764369,0.765938,0.807177,0.439701
vnwoodknot,p2_illumination_seed44,p2_illumination,44,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P2_illumination_normalization/dataset.yaml,226,151,0.766756,0.806597,0.839464,0.468618
vnwoodknot,p2_illumination_seed44,p2_illumination,44,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P2_illumination_normalization/dataset.yaml,229,155,0.782239,0.864840,0.851696,0.458321
vnwoodknot,p3_unsharp_seed42,p3_unsharp,42,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P3_mild_unsharp/dataset.yaml,226,151,0.725850,0.794546,0.825864,0.478487
vnwoodknot,p3_unsharp_seed42,p3_unsharp,42,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P3_mild_unsharp/dataset.yaml,229,155,0.777429,0.807378,0.819116,0.439721
vnwoodknot,p3_unsharp_seed43,p3_unsharp,43,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P3_mild_unsharp/dataset.yaml,226,151,0.801892,0.769592,0.827545,0.473566
vnwoodknot,p3_unsharp_seed43,p3_unsharp,43,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P3_mild_unsharp/dataset.yaml,229,155,0.822244,0.800300,0.868667,0.476302
vnwoodknot,p3_unsharp_seed44,p3_unsharp,44,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P3_mild_unsharp/dataset.yaml,226,151,0.792456,0.806907,0.821216,0.460936
vnwoodknot,p3_unsharp_seed44,p3_unsharp,44,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P3_mild_unsharp/dataset.yaml,229,155,0.813111,0.774234,0.811009,0.430629
vnwoodknot,a1_crop_seed42,a1_crop,42,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.808298,0.749824,0.808131,0.436216
vnwoodknot,a1_crop_seed42,a1_crop,42,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.805475,0.747827,0.810314,0.412544
vnwoodknot,a1_crop_seed43,a1_crop,43,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.843474,0.791466,0.843494,0.463268
vnwoodknot,a1_crop_seed43,a1_crop,43,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.831993,0.785105,0.827110,0.405797
vnwoodknot,a1_crop_seed44,a1_crop,44,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.786925,0.808723,0.821397,0.443091
vnwoodknot,a1_crop_seed44,a1_crop,44,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.773368,0.766656,0.799629,0.392921
vnwoodknot,a2_colorjitter_seed42,a2_colorjitter,42,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.786206,0.803879,0.824159,0.477964
vnwoodknot,a2_colorjitter_seed42,a2_colorjitter,42,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.753011,0.806525,0.794732,0.436906
vnwoodknot,a2_colorjitter_seed43,a2_colorjitter,43,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.814152,0.790892,0.822840,0.482676
vnwoodknot,a2_colorjitter_seed43,a2_colorjitter,43,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.792632,0.774734,0.824625,0.438356
vnwoodknot,a2_colorjitter_seed44,a2_colorjitter,44,val,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,226,151,0.767264,0.829853,0.821797,0.465997
vnwoodknot,a2_colorjitter_seed44,a2_colorjitter,44,test,/workspace/data/datasets_rebuilt/canonical/vnwoodknot/dataset.yaml,229,155,0.804291,0.826116,0.847775,0.448155
vnwoodknot,p4_a4_combined_seed42,p4_a4_combined,42,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P4_combined_safe/dataset.yaml,226,151,0.809156,0.789575,0.780806,0.430295
vnwoodknot,p4_a4_combined_seed42,p4_a4_combined,42,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P4_combined_safe/dataset.yaml,229,155,0.800138,0.844354,0.862754,0.439777
vnwoodknot,p4_a4_combined_seed43,p4_a4_combined,43,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P4_combined_safe/dataset.yaml,226,151,0.823229,0.794854,0.802591,0.444125
vnwoodknot,p4_a4_combined_seed43,p4_a4_combined,43,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P4_combined_safe/dataset.yaml,229,155,0.777153,0.780216,0.821659,0.418108
vnwoodknot,p4_a4_combined_seed44,p4_a4_combined,44,val,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P4_combined_safe/dataset.yaml,226,151,0.845278,0.788786,0.851093,0.457759
vnwoodknot,p4_a4_combined_seed44,p4_a4_combined,44,test,/workspace/data/datasets_rebuilt/variants/vnwoodknot/preprocessing/P4_combined_safe/dataset.yaml,229,155,0.832092,0.831196,0.870509,0.437817
vsb_rarefirst,baseline_seed42,baseline,42,val,/workspace/data/datasets_rebuilt/canonical/vsb_rarefirst/dataset.yaml,977,1146,0.787952,0.775243,0.819643,0.485392
vsb_rarefirst,baseline_seed42,baseline,42,test,/workspace/data/datasets_rebuilt/canonical/vsb_rarefirst/dataset.yaml,972,1173,0.806525,0.753873,0.805867,0.481686
vsb_rarefirst,baseline_seed43,baseline,43,val,/workspace/data/datasets_rebuilt/canonical/vsb_rarefirst/dataset.yaml,977,1146,0.799244,0.776472,0.831259,0.487406
vsb_rarefirst,baseline_seed43,baseline,43,test,/workspace/data/datasets_rebuilt/canonical/vsb_rarefirst/dataset.yaml,972,1173,0.810816,0.749868,0.807731,0.478453
vsb_rarefirst,baseline_seed44,baseline,44,val,/workspace/data/datasets_rebuilt/canonical/vsb_rarefirst/dataset.yaml,977,1146,0.807558,0.765688,0.824608,0.477905
vsb_rarefirst,baseline_seed44,baseline,44,test,/workspace/data/datasets_rebuilt/canonical/vsb_rarefirst/dataset.yaml,972,1173,0.806416,0.765608,0.815704,0.485557
vsb_rarefirst,p1_clahe_seed42,p1_clahe,42,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P1_CLAHE_luminance/dataset.yaml,977,1146,0.816299,0.775882,0.830804,0.478046
vsb_rarefirst,p1_clahe_seed42,p1_clahe,42,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P1_CLAHE_luminance/dataset.yaml,972,1173,0.807277,0.768504,0.808398,0.472810
vsb_rarefirst,p1_clahe_seed43,p1_clahe,43,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P1_CLAHE_luminance/dataset.yaml,977,1146,0.795756,0.753934,0.814403,0.474632
vsb_rarefirst,p1_clahe_seed43,p1_clahe,43,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P1_CLAHE_luminance/dataset.yaml,972,1173,0.790933,0.737448,0.795595,0.459310
vsb_rarefirst,p1_clahe_seed44,p1_clahe,44,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P1_CLAHE_luminance/dataset.yaml,977,1146,0.821530,0.760197,0.827029,0.483074
vsb_rarefirst,p1_clahe_seed44,p1_clahe,44,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P1_CLAHE_luminance/dataset.yaml,972,1173,0.783726,0.755541,0.797879,0.467042
vsb_rarefirst,p2_illumination_seed42,p2_illumination,42,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P2_illumination_normalization/dataset.yaml,977,1146,0.809170,0.768808,0.819888,0.479212
vsb_rarefirst,p2_illumination_seed42,p2_illumination,42,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P2_illumination_normalization/dataset.yaml,972,1173,0.780347,0.771120,0.808741,0.470679
vsb_rarefirst,p2_illumination_seed43,p2_illumination,43,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P2_illumination_normalization/dataset.yaml,977,1146,0.789167,0.781598,0.818403,0.475088
vsb_rarefirst,p2_illumination_seed43,p2_illumination,43,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P2_illumination_normalization/dataset.yaml,972,1173,0.802750,0.770334,0.814561,0.477190
vsb_rarefirst,p2_illumination_seed44,p2_illumination,44,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P2_illumination_normalization/dataset.yaml,977,1146,0.797876,0.756662,0.820740,0.479399
vsb_rarefirst,p2_illumination_seed44,p2_illumination,44,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P2_illumination_normalization/dataset.yaml,972,1173,0.793767,0.764424,0.809937,0.477887
vsb_rarefirst,p3_unsharp_seed42,p3_unsharp,42,val,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P3_mild_unsharp/dataset.yaml,977,1146,0.791801,0.788106,0.829589,0.484501
vsb_rarefirst,p3_unsharp_seed42,p3_unsharp,42,test,/workspace/data/datasets_rebuilt/variants/vsb_rarefirst/preprocessing/P3_mild_unsharp/dataset.yaml,972,1173,0.783639,0.782627,0.817287,0.481513
