dataset,variant,variant_label,split,n_seeds,n_images,n_instances,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std
vnwoodknot,baseline,Baseline,val,3,226,151,0.7831716666666667,0.025462907381784472,0.7932963333333334,0.023819179023075728,0.8166483333333333,0.012075358145137272,0.476014,0.013583035779972028
vnwoodknot,baseline,Baseline,test,3,229,155,0.7545216666666666,0.00856888862883242,0.8177300000000001,0.023794220894998847,0.8200316666666666,0.02474635347547861,0.442271,0.017055949313949083
vnwoodknot,p1_clahe,P1 CLAHE,val,3,226,151,0.7825063333333333,0.05578821342661314,0.793199,0.017135007090748493,0.8131146666666667,0.04123886469500986,0.479779,0.01567448270278801
vnwoodknot,p1_clahe,P1 CLAHE,test,3,229,155,0.763063,0.03188047102851523,0.7936486666666667,0.032050207258820206,0.8062486666666666,0.018506150581180655,0.434147,0.009083629175610364
vnwoodknot,p2_illumination,P2 illumination,val,3,226,151,0.751418,0.04133634501259148,0.8011863333333333,0.004812244936963763,0.8279083333333334,0.017367610783678142,0.47913433333333333,0.010268215830091099
vnwoodknot,p2_illumination,P2 illumination,test,3,229,155,0.7958833333333333,0.040116244918154194,0.8169923333333333,0.04952891513382193,0.845379,0.03546794692394811,0.44990166666666664,0.009436946610706933
vnwoodknot,p3_unsharp,P3 unsharp,val,3,226,151,0.7733993333333333,0.0414483274612298,0.7903483333333333,0.019008356329081502,0.824875,0.0032783610234384153,0.47099633333333335,0.009053275116405838
vnwoodknot,p3_unsharp,P3 unsharp,test,3,229,155,0.8042613333333334,0.02368192361978503,0.7939706666666667,0.01745498580157928,0.8329306666666666,0.031212898012413604,0.448884,0.02417594173967171
vnwoodknot,a1_crop,A1 crop,val,3,226,151,0.8128989999999999,0.028553883291069167,0.7833376666666667,0.030279124860757303,0.8243406666666667,0.0178643310071587,0.447525,0.014060510054759758
vnwoodknot,a1_crop,A1 crop,test,3,229,155,0.803612,0.029356868583007928,0.7665293333333334,0.018639322797068942,0.812351,0.01385328000871995,0.403754,0.009969750197472352
vnwoodknot,a2_colorjitter,A2 colour jitter,val,3,226,151,0.7892073333333333,0.02358764798222439,0.808208,0.01983797018346379,0.822932,0.001183684501883829,0.47554566666666664,0.0085984598814749
vnwoodknot,a2_colorjitter,A2 colour jitter,test,3,229,155,0.7833113333333334,0.02688058258917268,0.8024583333333334,0.0259312709741218,0.8223773333333333,0.02659283674851805,0.441139,0.00611913531473198
vnwoodknot,p4_a4_combined,P4+A4 combined,val,3,226,151,0.8258876666666667,0.018207171728012374,0.7910716666666666,0.003299267241878586,0.8114966666666666,0.035979838331117224,0.4440596666666667,0.013732116564220315
vnwoodknot,p4_a4_combined,P4+A4 combined,test,3,229,155,0.8031276666666667,0.02759124879981577,0.8185886666666667,0.03387667931384855,0.8516406666666667,0.02625281429358255,0.43190066666666665,0.011984933889401871
vsb_rarefirst,baseline,Baseline,val,3,977,1146,0.7982513333333333,0.00984062240578986,0.7724676666666667,0.005903432927825414,0.82517,0.005828357144170195,0.4835676666666667,0.005006335419579196
vsb_rarefirst,baseline,Baseline,test,3,972,1173,0.807919,0.002509467473389493,0.7564496666666667,0.008180238892192148,0.8097673333333333,0.005225096394645107,0.4818986666666667,0.0035567716166958674
vsb_rarefirst,p1_clahe,P1 CLAHE,val,3,977,1146,0.811195,0.013623981833516936,0.7633376666666667,0.01130603893206338,0.8240786666666666,0.00858932769972909,0.478584,0.004246636786917384
vsb_rarefirst,p1_clahe,P1 CLAHE,test,3,972,1173,0.7939786666666667,0.01206728902170381,0.753831,0.015598456942915848,0.800624,0.006828650745205772,0.4663873333333333,0.006773768621183737
vsb_rarefirst,p2_illumination,P2 illumination,val,3,977,1146,0.7987376666666667,0.01002929979277383,0.7690226666666666,0.012469385924468541,0.819677,0.0011827015684440546,0.47789966666666667,0.0024367692408870743
vsb_rarefirst,p2_illumination,P2 illumination,test,3,972,1173,0.792288,0.011274492582817174,0.768626,0.003660198355280768,0.8110796666666666,0.0030736566713498014,0.475252,0.003975638187763061
vsb_rarefirst,p3_unsharp,P3 unsharp,val,3,977,1146,0.7892256666666666,0.01605764180486457,0.78605,0.00231022423154118,0.8266183333333333,0.0025998596757004773,0.48348166666666664,0.0009832442897537493
vsb_rarefirst,p3_unsharp,P3 unsharp,test,3,972,1173,0.7842756666666667,0.00809180680276867,0.7757403333333334,0.008247063073199659,0.804341,0.01243427987460474,0.4727483333333333,0.008693886204300897
vsb_rarefirst,a1_crop,A1 crop,val,3,977,1146,0.7958186666666667,0.007780522883028683,0.7604126666666666,0.01350088376119629,0.8100350000000001,0.008759042927169594,0.466661,0.0032449241901776555
vsb_rarefirst,a1_crop,A1 crop,test,3,972,1173,0.777586,0.008434360141706078,0.7703823333333334,0.008835541881137407,0.8044893333333333,0.00448736373980685,0.46537300000000004,0.003294939756657173
vsb_rarefirst,a2_colorjitter,A2 colour jitter,val,3,977,1146,0.7701706666666667,0.006929904063790059,0.7953563333333333,0.01068219309567723,0.8230783333333334,0.005207131872089814,0.4775736666666667,0.0014871591486230735
vsb_rarefirst,a2_colorjitter,A2 colour jitter,test,3,972,1173,0.7666633333333334,0.022026223696615187,0.7789583333333333,0.0055714860076404304,0.8003979999999999,0.0012879021701977236,0.468578,0.0041184986342112494
vsb_rarefirst,p4_a4_combined,P4+A4 combined,val,3,977,1146,0.770625,0.011960663317726142,0.76125,0.022782357011512273,0.8058773333333333,0.004160891771403468,0.462151,0.002756691495252938
vsb_rarefirst,p4_a4_combined,P4+A4 combined,test,3,972,1173,0.7791143333333334,0.0008966255256980814,0.737875,0.016425739922450992,0.7934786666666667,0.004080255057387097,0.46336533333333335,0.0013142181452610077
