dataset,variant,variant_label,bin,bin_left,bin_right,n,mean_confidence,empirical_precision,gap
vnwoodknot,baseline,Baseline,0,0.0,0.1,2111,0.013687935964030548,0.011369019422074847,0.0023189165419557015
vnwoodknot,baseline,Baseline,1,0.1,0.2,169,0.14447561431036898,0.10650887573964497,0.03796673857072401
vnwoodknot,baseline,Baseline,2,0.2,0.3,137,0.2500666115623321,0.1386861313868613,0.11138048017547081
vnwoodknot,baseline,Baseline,3,0.3,0.4,128,0.3496637875214219,0.3359375,0.01372628752142191
vnwoodknot,baseline,Baseline,4,0.4,0.5,154,0.4502550568673518,0.6558441558441559,-0.2055890989768041
vnwoodknot,baseline,Baseline,5,0.5,0.6,115,0.538207829516867,0.7739130434782608,-0.23570521396139388
vnwoodknot,baseline,Baseline,6,0.6,0.7,54,0.6483552477977894,0.7592592592592593,-0.11090401146146989
vnwoodknot,baseline,Baseline,7,0.7,0.8,41,0.749291347294319,0.9024390243902439,-0.15314767709592492
vnwoodknot,baseline,Baseline,8,0.8,0.9,62,0.8499029249914231,1.0,-0.15009707500857694
vnwoodknot,baseline,Baseline,9,0.9,1.0,27,0.9323321867872167,1.0,-0.06766781321278326
vnwoodknot,p1_clahe,P1 CLAHE,0,0.0,0.1,2262,0.012783256760933441,0.011052166224580018,0.0017310905363534228
vnwoodknot,p1_clahe,P1 CLAHE,1,0.1,0.2,160,0.14535381337627767,0.0625,0.08285381337627767
vnwoodknot,p1_clahe,P1 CLAHE,2,0.2,0.3,150,0.25249330351750054,0.18666666666666668,0.06582663685083387
vnwoodknot,p1_clahe,P1 CLAHE,3,0.3,0.4,97,0.349217066138061,0.31958762886597936,0.02962943727208167
vnwoodknot,p1_clahe,P1 CLAHE,4,0.4,0.5,170,0.4520780793007682,0.6588235294117647,-0.2067454501109965
vnwoodknot,p1_clahe,P1 CLAHE,5,0.5,0.6,115,0.5386391002198924,0.7739130434782608,-0.23527394325836848
vnwoodknot,p1_clahe,P1 CLAHE,6,0.6,0.7,49,0.6347123846715811,0.7755102040816326,-0.14079781941005154
vnwoodknot,p1_clahe,P1 CLAHE,7,0.7,0.8,51,0.7556244485518512,0.9411764705882353,-0.1855520220363841
vnwoodknot,p1_clahe,P1 CLAHE,8,0.8,0.9,60,0.8514529585838317,0.95,-0.09854704141616821
vnwoodknot,p1_clahe,P1 CLAHE,9,0.9,1.0,16,0.9221618287265301,1.0,-0.07783817127346992
vnwoodknot,p2_illumination,P2 illumination,0,0.0,0.1,2730,0.01271412270369636,0.012087912087912088,0.0006262106157842711
vnwoodknot,p2_illumination,P2 illumination,1,0.1,0.2,224,0.14569345588928886,0.05803571428571429,0.08765774160357458
vnwoodknot,p2_illumination,P2 illumination,2,0.2,0.3,152,0.24753496560611224,0.17763157894736842,0.06990338665874382
vnwoodknot,p2_illumination,P2 illumination,3,0.3,0.4,109,0.34648157041007227,0.47706422018348627,-0.130582649773414
vnwoodknot,p2_illumination,P2 illumination,4,0.4,0.5,136,0.4499172539833714,0.7132352941176471,-0.2633180401342757
vnwoodknot,p2_illumination,P2 illumination,5,0.5,0.6,114,0.5450814178115443,0.7807017543859649,-0.2356203365744206
vnwoodknot,p2_illumination,P2 illumination,6,0.6,0.7,39,0.6408195908253009,0.8461538461538461,-0.2053342553285452
vnwoodknot,p2_illumination,P2 illumination,7,0.7,0.8,42,0.7461526848021007,0.9047619047619048,-0.15860921995980404
vnwoodknot,p2_illumination,P2 illumination,8,0.8,0.9,56,0.8459904683487756,0.9821428571428571,-0.13615238879408154
vnwoodknot,p2_illumination,P2 illumination,9,0.9,1.0,25,0.9245342063903809,1.0,-0.07546579360961914
vnwoodknot,p3_unsharp,P3 unsharp,0,0.0,0.1,2364,0.012573700387668267,0.010998307952622674,0.0015753924350455934
vnwoodknot,p3_unsharp,P3 unsharp,1,0.1,0.2,161,0.14550035081294752,0.08695652173913043,0.05854382907381708
vnwoodknot,p3_unsharp,P3 unsharp,2,0.2,0.3,163,0.24320754884210832,0.17177914110429449,0.07142840773781384
vnwoodknot,p3_unsharp,P3 unsharp,3,0.3,0.4,105,0.34808167332694645,0.29523809523809524,0.052843578088851206
vnwoodknot,p3_unsharp,P3 unsharp,4,0.4,0.5,137,0.4560429079689249,0.7299270072992701,-0.2738840993303452
vnwoodknot,p3_unsharp,P3 unsharp,5,0.5,0.6,142,0.5414100814033562,0.8028169014084507,-0.2614068200050945
vnwoodknot,p3_unsharp,P3 unsharp,6,0.6,0.7,36,0.6483422501219643,0.8611111111111112,-0.21276886098914682
vnwoodknot,p3_unsharp,P3 unsharp,7,0.7,0.8,38,0.7529945546074918,0.8947368421052632,-0.1417422874977714
vnwoodknot,p3_unsharp,P3 unsharp,8,0.8,0.9,62,0.8504323344076833,0.967741935483871,-0.11730960107618771
vnwoodknot,p3_unsharp,P3 unsharp,9,0.9,1.0,20,0.9245287954807282,1.0,-0.0754712045192718
vnwoodknot,a1_crop,A1 crop,0,0.0,0.1,2457,0.010377801774082176,0.01098901098901099,-0.000611209214928814
vnwoodknot,a1_crop,A1 crop,1,0.1,0.2,119,0.14512831673902624,0.08403361344537816,0.06109470329364808
vnwoodknot,a1_crop,A1 crop,2,0.2,0.3,72,0.2508279716389047,0.16666666666666666,0.08416130497223803
vnwoodknot,a1_crop,A1 crop,3,0.3,0.4,61,0.3486582187355542,0.2459016393442623,0.1027565793912919
vnwoodknot,a1_crop,A1 crop,4,0.4,0.5,74,0.4507156719227095,0.3918918918918919,0.05882378003081762
vnwoodknot,a1_crop,A1 crop,5,0.5,0.6,138,0.5547294366186943,0.6594202898550725,-0.10469085323637817
vnwoodknot,a1_crop,A1 crop,6,0.6,0.7,141,0.6461354726595236,0.8156028368794326,-0.16946736421990893
vnwoodknot,a1_crop,A1 crop,7,0.7,0.8,85,0.742939427319695,0.9294117647058824,-0.1864723373861874
vnwoodknot,a1_crop,A1 crop,8,0.8,0.9,52,0.8410886503182925,1.0,-0.1589113496817075
vnwoodknot,a1_crop,A1 crop,9,0.9,1.0,4,0.919931173324585,1.0,-0.08006882667541504
vnwoodknot,a2_colorjitter,A2 colour jitter,0,0.0,0.1,2266,0.013152801640554095,0.01235657546337158,0.000796226177182514
vnwoodknot,a2_colorjitter,A2 colour jitter,1,0.1,0.2,189,0.14569402340227966,0.09523809523809523,0.05045592816418443
vnwoodknot,a2_colorjitter,A2 colour jitter,2,0.2,0.3,157,0.2519952737411876,0.18471337579617833,0.06728189794500924
vnwoodknot,a2_colorjitter,A2 colour jitter,3,0.3,0.4,119,0.3531346431299418,0.4117647058823529,-0.058630062752411116
vnwoodknot,a2_colorjitter,A2 colour jitter,4,0.4,0.5,155,0.4571975434980085,0.7483870967741936,-0.29118955327618506
vnwoodknot,a2_colorjitter,A2 colour jitter,5,0.5,0.6,106,0.5378525881272442,0.7830188679245284,-0.24516627979728411
vnwoodknot,a2_colorjitter,A2 colour jitter,6,0.6,0.7,45,0.6478106366263495,0.8444444444444444,-0.19663380781809492
vnwoodknot,a2_colorjitter,A2 colour jitter,7,0.7,0.8,47,0.7554798291084615,0.9787234042553191,-0.22324357514685766
vnwoodknot,a2_colorjitter,A2 colour jitter,8,0.8,0.9,47,0.8453846928921152,1.0,-0.15461530710788485
vnwoodknot,a2_colorjitter,A2 colour jitter,9,0.9,1.0,8,0.9275304973125458,1.0,-0.07246950268745422
vnwoodknot,p4_a4_combined,P4+A4 combined,0,0.0,0.1,2289,0.011010960392747928,0.009174311926605505,0.001836648466142423
vnwoodknot,p4_a4_combined,P4+A4 combined,1,0.1,0.2,127,0.1423772984719652,0.07086614173228346,0.07151115673968174
vnwoodknot,p4_a4_combined,P4+A4 combined,2,0.2,0.3,74,0.2494923327420209,0.1891891891891892,0.0603031435528317
vnwoodknot,p4_a4_combined,P4+A4 combined,3,0.3,0.4,66,0.3476521467620676,0.21212121212121213,0.1355309346408555
vnwoodknot,p4_a4_combined,P4+A4 combined,4,0.4,0.5,70,0.4572807678154537,0.4142857142857143,0.04299505352973937
vnwoodknot,p4_a4_combined,P4+A4 combined,5,0.5,0.6,138,0.5530172836953315,0.6811594202898551,-0.12814213659452356
vnwoodknot,p4_a4_combined,P4+A4 combined,6,0.6,0.7,146,0.6449613542589423,0.8698630136986302,-0.22490165943968787
vnwoodknot,p4_a4_combined,P4+A4 combined,7,0.7,0.8,80,0.7413392618298531,0.95,-0.20866073817014685
vnwoodknot,p4_a4_combined,P4+A4 combined,8,0.8,0.9,53,0.8504846478408238,0.9811320754716981,-0.13064742763087434
vnwoodknot,p4_a4_combined,P4+A4 combined,9,0.9,1.0,9,0.9179773463143243,1.0,-0.08202265368567574
vsb_rarefirst,baseline,Baseline,0,0.0,0.1,16712,0.012054869115479467,0.018788894207754907,-0.00673402509227544
vsb_rarefirst,baseline,Baseline,1,0.1,0.2,1039,0.1423930595409308,0.1395572666025024,0.002835792938428394
vsb_rarefirst,baseline,Baseline,2,0.2,0.3,564,0.24839741372047586,0.2570921985815603,-0.008694784861084437
vsb_rarefirst,baseline,Baseline,3,0.3,0.4,459,0.35016533076633294,0.31808278867102396,0.032082542095308975
vsb_rarefirst,baseline,Baseline,4,0.4,0.5,460,0.4507951274514198,0.49130434782608695,-0.04050922037466714
vsb_rarefirst,baseline,Baseline,5,0.5,0.6,507,0.5519868936059038,0.7061143984220908,-0.15412750481618698
vsb_rarefirst,baseline,Baseline,6,0.6,0.7,687,0.6517645110209436,0.7743813682678311,-0.12261685724688753
vsb_rarefirst,baseline,Baseline,7,0.7,0.8,825,0.7512710866783604,0.8896969696969697,-0.13842588301860925
vsb_rarefirst,baseline,Baseline,8,0.8,0.9,716,0.8437726431052778,0.9455307262569832,-0.10175808315170543
vsb_rarefirst,baseline,Baseline,9,0.9,1.0,41,0.914837905546514,0.975609756097561,-0.060771850551046946
vsb_rarefirst,p1_clahe,P1 CLAHE,0,0.0,0.1,16004,0.011954877699492673,0.021682079480129967,-0.009727201780637294
vsb_rarefirst,p1_clahe,P1 CLAHE,1,0.1,0.2,914,0.14498884864232994,0.14113785557986872,0.0038509930624612276
vsb_rarefirst,p1_clahe,P1 CLAHE,2,0.2,0.3,567,0.2483473686366695,0.25044091710758376,-0.0020935484709142527
vsb_rarefirst,p1_clahe,P1 CLAHE,3,0.3,0.4,429,0.3495395577454067,0.30536130536130535,0.044178252384101335
vsb_rarefirst,p1_clahe,P1 CLAHE,4,0.4,0.5,429,0.4490339848406109,0.44522144522144524,0.003812539619165667
vsb_rarefirst,p1_clahe,P1 CLAHE,5,0.5,0.6,485,0.5526630877219525,0.6288659793814433,-0.07620289165949079
vsb_rarefirst,p1_clahe,P1 CLAHE,6,0.6,0.7,671,0.6516428376629883,0.7660208643815202,-0.11437802671853192
vsb_rarefirst,p1_clahe,P1 CLAHE,7,0.7,0.8,904,0.7521417003817263,0.8860619469026548,-0.1339202465209285
vsb_rarefirst,p1_clahe,P1 CLAHE,8,0.8,0.9,754,0.8414351826321225,0.9297082228116711,-0.08827304017954862
vsb_rarefirst,p1_clahe,P1 CLAHE,9,0.9,1.0,48,0.912325290342172,0.9791666666666666,-0.0668413763244946
vsb_rarefirst,p2_illumination,P2 illumination,0,0.0,0.1,17332,0.012065351029452085,0.018232171705515807,-0.006166820676063722
vsb_rarefirst,p2_illumination,P2 illumination,1,0.1,0.2,1035,0.1436727290208213,0.15265700483091788,-0.008984275810096587
vsb_rarefirst,p2_illumination,P2 illumination,2,0.2,0.3,582,0.24698959570058024,0.19931271477663232,0.04767688092394792
vsb_rarefirst,p2_illumination,P2 illumination,3,0.3,0.4,452,0.3500141388019629,0.3252212389380531,0.024792899863909812
vsb_rarefirst,p2_illumination,P2 illumination,4,0.4,0.5,502,0.44904186621130227,0.4940239043824701,-0.04498203817116786
vsb_rarefirst,p2_illumination,P2 illumination,5,0.5,0.6,539,0.5523825615146828,0.62152133580705,-0.06913877429236726
vsb_rarefirst,p2_illumination,P2 illumination,6,0.6,0.7,694,0.6530185061847785,0.7939481268011528,-0.14092962061637426
