dataset,variant,scope,seed,selected_threshold,previous_grid_threshold,image_or_tile_id,max_confidence,margin_to_selected_threshold,blocks_previous_grid_threshold,binding_pairs_across_seeds,single_binding_pair
vnwoodknot,baseline,per_seed_max,42,0.1,0.05,images/val/knot_free/img_4845.jpg,0.008825638331472874,0.09117436166852713,False,,
vnwoodknot,baseline,per_seed_max,43,0.1,0.05,images/val/knot_free/img_4542.jpg,0.06816092133522034,0.03183907866477967,True,,
vnwoodknot,baseline,per_seed_max,44,0.1,0.05,images/val/knot_free/img_4446.jpg,0.027152221649885178,0.07284777835011483,False,,
vnwoodknot,baseline,cross_seed_binding,all,0.1,0.05,seed43:images/val/knot_free/img_4542.jpg,0.06816092133522034,0.03183907866477967,True,1,True
vnwoodknot,p1_clahe,per_seed_max,42,0.1,0.05,images/val/knot_free/img_4412.jpg,0.0846613198518753,0.0153386801481247,True,,
vnwoodknot,p1_clahe,per_seed_max,43,0.1,0.05,images/val/knot_free/img_4542.jpg,0.015256104990839958,0.08474389500916005,False,,
vnwoodknot,p1_clahe,per_seed_max,44,0.1,0.05,images/val/knot_free/img_4528.jpg,0.008633139543235302,0.0913668604567647,False,,
vnwoodknot,p1_clahe,cross_seed_binding,all,0.1,0.05,seed42:images/val/knot_free/img_4412.jpg,0.0846613198518753,0.0153386801481247,True,1,True
vnwoodknot,p2_illumination,per_seed_max,42,0.15,0.1,images/val/knot_free/img_4480.jpg,0.008940975181758404,0.1410590248182416,False,,
vnwoodknot,p2_illumination,per_seed_max,43,0.15,0.1,images/val/knot_free/img_4764.jpg,0.1433931589126587,0.006606841087341303,True,,
vnwoodknot,p2_illumination,per_seed_max,44,0.15,0.1,images/val/knot_free/img_4823.jpg,0.03593938425183296,0.11406061574816703,False,,
vnwoodknot,p2_illumination,cross_seed_binding,all,0.15,0.1,seed43:images/val/knot_free/img_4764.jpg,0.1433931589126587,0.006606841087341303,True,1,True
vnwoodknot,p3_unsharp,per_seed_max,42,0.05,0.0,images/val/knot_free/img_4395.jpg,0.013769049197435379,0.036230950802564624,not_applicable_grid_floor,,
vnwoodknot,p3_unsharp,per_seed_max,43,0.05,0.0,images/val/knot_free/img_4412.jpg,0.0273737832903862,0.022626216709613803,not_applicable_grid_floor,,
vnwoodknot,p3_unsharp,per_seed_max,44,0.05,0.0,images/val/knot_free/img_4847.jpg,0.03645193204283714,0.01354806795716286,not_applicable_grid_floor,,
vnwoodknot,p3_unsharp,cross_seed_binding,all,0.05,0.0,seed44:images/val/knot_free/img_4847.jpg,0.03645193204283714,0.01354806795716286,not_applicable_grid_floor,0,False
vnwoodknot,a1_crop,per_seed_max,42,0.25,0.2,images/val/knot_free/img_4840.jpg,0.2057083696126938,0.04429163038730621,True,,
vnwoodknot,a1_crop,per_seed_max,43,0.25,0.2,images/val/knot_free/img_4845.jpg,0.037943035364151,0.212056964635849,False,,
vnwoodknot,a1_crop,per_seed_max,44,0.25,0.2,images/val/knot_free/img_4396.jpg,0.1169263944029808,0.1330736055970192,False,,
vnwoodknot,a1_crop,cross_seed_binding,all,0.25,0.2,seed42:images/val/knot_free/img_4840.jpg,0.2057083696126938,0.04429163038730621,True,1,True
vnwoodknot,a2_colorjitter,per_seed_max,42,0.05,0.0,images/val/knot_free/img_5009.jpg,0.01190401241183281,0.03809598758816719,not_applicable_grid_floor,,
vnwoodknot,a2_colorjitter,per_seed_max,43,0.05,0.0,images/val/knot_free/img_4845.jpg,0.007230675313621759,0.04276932468637824,not_applicable_grid_floor,,
vnwoodknot,a2_colorjitter,per_seed_max,44,0.05,0.0,images/val/knot_free/img_4823.jpg,0.010689793154597282,0.03931020684540272,not_applicable_grid_floor,,
vnwoodknot,a2_colorjitter,cross_seed_binding,all,0.05,0.0,seed42:images/val/knot_free/img_5009.jpg,0.01190401241183281,0.03809598758816719,not_applicable_grid_floor,0,False
vnwoodknot,p4_a4_combined,per_seed_max,42,0.7,0.65,images/val/knot_free/img_4412.jpg,0.6696608662605286,0.03033913373947139,True,,
vnwoodknot,p4_a4_combined,per_seed_max,43,0.7,0.65,images/val/knot_free/img_4396.jpg,0.050679873675107956,0.649320126324892,False,,
vnwoodknot,p4_a4_combined,per_seed_max,44,0.7,0.65,images/val/knot_free/img_4412.jpg,0.04685056954622269,0.6531494304537773,False,,
vnwoodknot,p4_a4_combined,cross_seed_binding,all,0.7,0.65,seed42:images/val/knot_free/img_4412.jpg,0.6696608662605286,0.03033913373947139,True,1,True
vsb_rarefirst,baseline,per_seed_max,42,0.85,0.8,images/val/clean/175900081__x0896_y0000.bmp,0.719288170337677,0.13071182966232298,False,,
vsb_rarefirst,baseline,per_seed_max,43,0.85,0.8,images/val/clean/145200048__x1776_y0000.bmp,0.8011909127235413,0.04880908727645872,True,,
vsb_rarefirst,baseline,per_seed_max,44,0.85,0.8,images/val/clean/166800057__x0896_y0000.bmp,0.7576128244400024,0.09238717555999754,False,,
vsb_rarefirst,baseline,cross_seed_binding,all,0.85,0.8,seed43:images/val/clean/145200048__x1776_y0000.bmp,0.8011909127235413,0.04880908727645872,True,1,True
vsb_rarefirst,p1_clahe,per_seed_max,42,0.8,0.75,images/val/clean/166800057__x0896_y0000.jpg,0.7643076181411743,0.03569238185882573,True,,
vsb_rarefirst,p1_clahe,per_seed_max,43,0.8,0.75,images/val/clean/175900081__x0896_y0000.jpg,0.775855302810669,0.0241446971893311,True,,
vsb_rarefirst,p1_clahe,per_seed_max,44,0.8,0.75,images/val/clean/142800044__x0896_y0000.jpg,0.7406747341156006,0.05932526588439946,False,,
vsb_rarefirst,p1_clahe,cross_seed_binding,all,0.8,0.75,seed43:images/val/clean/175900081__x0896_y0000.jpg,0.775855302810669,0.0241446971893311,True,4,False
vsb_rarefirst,p2_illumination,per_seed_max,42,0.75,0.7,images/val/clean/175900081__x0896_y0000.jpg,0.7044706344604492,0.04552936553955078,True,,
vsb_rarefirst,p2_illumination,per_seed_max,43,0.75,0.7,images/val/clean/106000024__x0000_y0000.jpg,0.7435894012451172,0.0064105987548828125,True,,
vsb_rarefirst,p2_illumination,per_seed_max,44,0.75,0.7,images/val/clean/175900081__x0896_y0000.jpg,0.7382096648216248,0.011790335178375244,True,,
vsb_rarefirst,p2_illumination,cross_seed_binding,all,0.75,0.7,seed43:images/val/clean/106000024__x0000_y0000.jpg,0.7435894012451172,0.0064105987548828125,True,9,False
vsb_rarefirst,p3_unsharp,per_seed_max,42,0.8,0.75,images/val/clean/113700040__x0896_y0000.jpg,0.7308169603347778,0.06918303966522221,False,,
vsb_rarefirst,p3_unsharp,per_seed_max,43,0.8,0.75,images/val/clean/166800057__x0896_y0000.jpg,0.7243386507034302,0.07566134929656987,False,,
vsb_rarefirst,p3_unsharp,per_seed_max,44,0.8,0.75,images/val/clean/167600048__x1776_y0000.jpg,0.7714300751686096,0.028569924831390425,True,,
vsb_rarefirst,p3_unsharp,cross_seed_binding,all,0.8,0.75,seed44:images/val/clean/167600048__x1776_y0000.jpg,0.7714300751686096,0.028569924831390425,True,1,True
vsb_rarefirst,a1_crop,per_seed_max,42,0.8,0.75,images/val/clean/166800057__x0896_y0000.bmp,0.7260426878929138,0.07395731210708623,False,,
vsb_rarefirst,a1_crop,per_seed_max,43,0.8,0.75,images/val/clean/141100041__x0896_y0000.bmp,0.7586827278137207,0.04131727218627934,True,,
vsb_rarefirst,a1_crop,per_seed_max,44,0.8,0.75,images/val/clean/151900020__x1776_y0000.bmp,0.7844528555870056,0.01554714441299443,True,,
vsb_rarefirst,a1_crop,cross_seed_binding,all,0.8,0.75,seed44:images/val/clean/151900020__x1776_y0000.bmp,0.7844528555870056,0.01554714441299443,True,4,False
vsb_rarefirst,a2_colorjitter,per_seed_max,42,0.8,0.75,images/val/clean/161800059__x1776_y0000.bmp,0.7652138471603394,0.03478615283966069,True,,
vsb_rarefirst,a2_colorjitter,per_seed_max,43,0.8,0.75,images/val/clean/106000024__x0000_y0000.bmp,0.7128549218177795,0.0871450781822205,False,,
vsb_rarefirst,a2_colorjitter,per_seed_max,44,0.8,0.75,images/val/clean/126800045__x0896_y0000.bmp,0.7147263288497925,0.08527367115020756,False,,
vsb_rarefirst,a2_colorjitter,cross_seed_binding,all,0.8,0.75,seed42:images/val/clean/161800059__x1776_y0000.bmp,0.7652138471603394,0.03478615283966069,True,2,False
vsb_rarefirst,p4_a4_combined,per_seed_max,42,0.8,0.75,images/val/clean/131600004__x0000_y0000.jpg,0.7794033885002136,0.02059661149978642,True,,
vsb_rarefirst,p4_a4_combined,per_seed_max,43,0.8,0.75,images/val/clean/175900081__x0896_y0000.jpg,0.7390533685684204,0.060946631431579634,False,,
vsb_rarefirst,p4_a4_combined,per_seed_max,44,0.8,0.75,images/val/clean/175900081__x0896_y0000.jpg,0.7759267687797546,0.024073231220245406,True,,
vsb_rarefirst,p4_a4_combined,cross_seed_binding,all,0.8,0.75,seed42:images/val/clean/131600004__x0000_y0000.jpg,0.7794033885002136,0.02059661149978642,True,4,False
