dataset,epsilon,metric,rank,variant,value,rank_change_from_epsilon0,spearman_vs_epsilon0
vnwoodknot,0.0,retained_mAP50,1,p3_unsharp,0.8195436416273404,0,1.0
vnwoodknot,0.0,retained_mAP50,2,p2_illumination,0.8178315459714511,0,1.0
vnwoodknot,0.0,retained_mAP50,3,a2_colorjitter,0.8090479314094726,0,1.0
vnwoodknot,0.0,retained_mAP50,4,baseline,0.8032965357395266,0,1.0
vnwoodknot,0.0,retained_mAP50,5,p1_clahe,0.7892499578724446,0,1.0
vnwoodknot,0.0,retained_mAP50,6,a1_crop,0.7674015905604565,0,1.0
vnwoodknot,0.0,retained_mAP50,7,p4_a4_combined,0.29487127371273714,0,1.0
vnwoodknot,0.0,retained_recall,1,a2_colorjitter,0.9483870967741935,,
vnwoodknot,0.0,retained_recall,2,baseline,0.9397849462365592,,
vnwoodknot,0.0,retained_recall,3,p3_unsharp,0.9397849462365591,,
vnwoodknot,0.0,retained_recall,4,p1_clahe,0.9225806451612903,,
vnwoodknot,0.0,retained_recall,5,p2_illumination,0.913978494623656,,
vnwoodknot,0.0,retained_recall,6,a1_crop,0.8451612903225807,,
vnwoodknot,0.0,retained_recall,7,p4_a4_combined,0.2946236559139785,,
vnwoodknot,0.01,retained_mAP50,1,p4_a4_combined,0.8407470844952626,6,0.1785714285714286
vnwoodknot,0.01,retained_mAP50,2,p2_illumination,0.8332840723082018,0,0.1785714285714286
vnwoodknot,0.01,retained_mAP50,3,p3_unsharp,0.8195436416273404,-2,0.1785714285714286
vnwoodknot,0.01,retained_mAP50,4,baseline,0.8098847958641725,0,0.1785714285714286
vnwoodknot,0.01,retained_mAP50,5,a2_colorjitter,0.8090479314094726,-2,0.1785714285714286
vnwoodknot,0.01,retained_mAP50,6,p1_clahe,0.7962543566914121,-1,0.1785714285714286
vnwoodknot,0.01,retained_mAP50,7,a1_crop,0.7892122292387005,-1,0.1785714285714286
vnwoodknot,0.01,retained_recall,1,baseline,0.9548387096774194,,
vnwoodknot,0.01,retained_recall,2,p2_illumination,0.9483870967741935,,
vnwoodknot,0.01,retained_recall,3,a2_colorjitter,0.9483870967741935,,
