dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vnwoodknot,baseline,42,0.0,0.1,0.0,75,0,0.0,0,0.0,288,155,144,144,11,0.5,0.9290322580645162,0.7759632625972066
vnwoodknot,baseline,43,0.0,0.1,0.0,75,1,0.013333333333333334,2,0.02666666666666667,296,155,148,148,7,0.5,0.9548387096774194,0.8361355714879386
vnwoodknot,baseline,44,0.0,0.1,0.0,75,0,0.0,0,0.0,305,155,145,160,10,0.47540983606557374,0.9354838709677419,0.7977907731334346
vnwoodknot,baseline,42,0.01,0.05,0.0,75,0,0.0,0,0.0,351,155,147,204,8,0.4188034188034188,0.9483870967741935,0.7853173932849133
vnwoodknot,baseline,43,0.01,0.05,0.013333333333333334,75,2,0.02666666666666667,4,0.05333333333333334,346,155,149,197,6,0.430635838150289,0.9612903225806452,0.8382744603768275
vnwoodknot,baseline,44,0.01,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,362,155,148,214,7,0.4088397790055249,0.9548387096774194,0.8060625339307768
vnwoodknot,baseline,42,0.02,0.05,0.0,75,0,0.0,0,0.0,351,155,147,204,8,0.4188034188034188,0.9483870967741935,0.7853173932849133
vnwoodknot,baseline,43,0.02,0.05,0.013333333333333334,75,2,0.02666666666666667,4,0.05333333333333334,346,155,149,197,6,0.430635838150289,0.9612903225806452,0.8382744603768275
vnwoodknot,baseline,44,0.02,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,362,155,148,214,7,0.4088397790055249,0.9548387096774194,0.8060625339307768
vnwoodknot,baseline,42,0.05,0.05,0.0,75,0,0.0,0,0.0,351,155,147,204,8,0.4188034188034188,0.9483870967741935,0.7853173932849133
vnwoodknot,baseline,43,0.05,0.05,0.013333333333333334,75,2,0.02666666666666667,4,0.05333333333333334,346,155,149,197,6,0.430635838150289,0.9612903225806452,0.8382744603768275
vnwoodknot,baseline,44,0.05,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,362,155,148,214,7,0.4088397790055249,0.9548387096774194,0.8060625339307768
vnwoodknot,p1_clahe,42,0.0,0.1,0.0,75,1,0.013333333333333334,1,0.013333333333333334,299,155,143,156,12,0.4782608695652174,0.9225806451612903,0.7906668575500433
vnwoodknot,p1_clahe,43,0.0,0.1,0.0,75,0,0.0,0,0.0,260,155,139,121,16,0.5346153846153846,0.896774193548387,0.7643876335905264
vnwoodknot,p1_clahe,44,0.0,0.1,0.0,75,1,0.013333333333333334,1,0.013333333333333334,311,155,147,164,8,0.47266881028938906,0.9483870967741935,0.812695382476764
vnwoodknot,p1_clahe,42,0.01,0.05,0.013333333333333334,75,2,0.02666666666666667,2,0.02666666666666667,359,155,146,213,9,0.40668523676880225,0.9419354838709677,0.7966911035583224
vnwoodknot,p1_clahe,43,0.01,0.05,0.0,75,0,0.0,0,0.0,305,155,141,164,14,0.46229508196721314,0.9096774193548387,0.7708308643088317
vnwoodknot,p1_clahe,44,0.01,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,377,155,151,226,4,0.4005305039787798,0.9741935483870968,0.821241102207082
vnwoodknot,p1_clahe,42,0.02,0.05,0.013333333333333334,75,2,0.02666666666666667,2,0.02666666666666667,359,155,146,213,9,0.40668523676880225,0.9419354838709677,0.7966911035583224
vnwoodknot,p1_clahe,43,0.02,0.05,0.0,75,0,0.0,0,0.0,305,155,141,164,14,0.46229508196721314,0.9096774193548387,0.7708308643088317
vnwoodknot,p1_clahe,44,0.02,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,377,155,151,226,4,0.4005305039787798,0.9741935483870968,0.821241102207082
vnwoodknot,p1_clahe,42,0.05,0.05,0.013333333333333334,75,2,0.02666666666666667,2,0.02666666666666667,359,155,146,213,9,0.40668523676880225,0.9419354838709677,0.7966911035583224
vnwoodknot,p1_clahe,43,0.05,0.05,0.0,75,0,0.0,0,0.0,305,155,141,164,14,0.46229508196721314,0.9096774193548387,0.7708308643088317
vnwoodknot,p1_clahe,44,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,377,155,151,226,4,0.4005305039787798,0.9741935483870968,0.821241102207082
vnwoodknot,p2_illumination,42,0.0,0.15,0.0,75,0,0.0,0,0.0,227,155,143,84,12,0.6299559471365639,0.9225806451612903,0.845289987154801
vnwoodknot,p2_illumination,43,0.0,0.15,0.0,75,0,0.0,0,0.0,276,155,138,138,17,0.5,0.8903225806451613,0.7767300434617118
vnwoodknot,p2_illumination,44,0.0,0.15,0.0,75,0,0.0,0,0.0,267,155,144,123,11,0.5393258426966292,0.9290322580645162,0.8314746072978407
vnwoodknot,p2_illumination,42,0.01,0.05,0.0,75,1,0.013333333333333334,2,0.02666666666666667,304,155,148,156,7,0.4868421052631579,0.9548387096774194,0.8622938177741046
vnwoodknot,p2_illumination,43,0.01,0.05,0.013333333333333334,75,0,0.0,0,0.0,407,155,145,262,10,0.35626535626535627,0.9354838709677419,0.7958424245054633
vnwoodknot,p2_illumination,44,0.01,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,386,155,148,238,7,0.38341968911917096,0.9548387096774194,0.8417159746450374
vnwoodknot,p2_illumination,42,0.02,0.05,0.0,75,1,0.013333333333333334,2,0.02666666666666667,304,155,148,156,7,0.4868421052631579,0.9548387096774194,0.8622938177741046
vnwoodknot,p2_illumination,43,0.02,0.05,0.013333333333333334,75,0,0.0,0,0.0,407,155,145,262,10,0.35626535626535627,0.9354838709677419,0.7958424245054633
vnwoodknot,p2_illumination,44,0.02,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,386,155,148,238,7,0.38341968911917096,0.9548387096774194,0.8417159746450374
vnwoodknot,p2_illumination,42,0.05,0.05,0.0,75,1,0.013333333333333334,2,0.02666666666666667,304,155,148,156,7,0.4868421052631579,0.9548387096774194,0.8622938177741046
vnwoodknot,p2_illumination,43,0.05,0.05,0.013333333333333334,75,0,0.0,0,0.0,407,155,145,262,10,0.35626535626535627,0.9354838709677419,0.7958424245054633
vnwoodknot,p2_illumination,44,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,386,155,148,238,7,0.38341968911917096,0.9548387096774194,0.8417159746450374
vnwoodknot,p3_unsharp,42,0.0,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,361,155,145,216,10,0.40166204986149584,0.9354838709677419,0.8053329253981019
vnwoodknot,p3_unsharp,43,0.0,0.05,0.0,75,0,0.0,0,0.0,322,155,147,175,8,0.45652173913043476,0.9483870967741935,0.8549015034395475
vnwoodknot,p3_unsharp,44,0.0,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,355,155,145,210,10,0.4084507042253521,0.9354838709677419,0.7983964960443718
vnwoodknot,p3_unsharp,42,0.01,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,361,155,145,216,10,0.40166204986149584,0.9354838709677419,0.8053329253981019
vnwoodknot,p3_unsharp,43,0.01,0.05,0.0,75,0,0.0,0,0.0,322,155,147,175,8,0.45652173913043476,0.9483870967741935,0.8549015034395475
vnwoodknot,p3_unsharp,44,0.01,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,355,155,145,210,10,0.4084507042253521,0.9354838709677419,0.7983964960443718
vnwoodknot,p3_unsharp,42,0.02,0.05,0.0,75,2,0.02666666666666667,2,0.02666666666666667,361,155,145,216,10,0.40166204986149584,0.9354838709677419,0.8053329253981019
