dataset,variant,seed,best_epoch,best_val_mAP50,epoch40_val_mAP50,final_val_mAP50,pre_final10_best_mAP50,final10_best_mAP50,final10_new_best_gain,epoch40_to_50_change,final10_linear_slope_per_epoch,positive_final10_trend,plateau_by_rule
vnwoodknot,baseline,42,45,0.82788,0.73228,0.80013,0.79323,0.82788,0.03464999999999996,0.06784999999999997,0.0007738787878787599,False,False
vnwoodknot,baseline,43,43,0.81783,0.67887,0.7966,0.79566,0.81783,0.022169999999999912,0.11773,0.0015326060606060633,True,False
vnwoodknot,baseline,44,49,0.83645,0.7667,0.80707,0.82461,0.83645,0.011840000000000073,0.040369999999999906,0.003364181818181814,True,False
vnwoodknot,p1_clahe,42,43,0.84025,0.77934,0.80715,0.83004,0.84025,0.010210000000000052,0.02781,0.002842848484848422,True,False
vnwoodknot,p1_clahe,43,46,0.84495,0.76111,0.81064,0.7993,0.84495,0.04564999999999997,0.049530000000000074,0.0032791515151514784,True,False
vnwoodknot,p1_clahe,44,37,0.80818,0.72041,0.76273,0.80818,0.79788,-0.010299999999999976,0.042320000000000024,-0.0020348484848485004,False,True
vnwoodknot,p2_illumination,42,43,0.84024,0.73908,0.80529,0.79883,0.84024,0.04140999999999995,0.06620999999999999,0.002325454545454502,True,False
vnwoodknot,p2_illumination,43,37,0.83796,0.78345,0.81567,0.83796,0.83426,-0.0037000000000000366,0.032220000000000026,0.0026020606060605795,True,True
vnwoodknot,p2_illumination,44,43,0.83974,0.77689,0.78843,0.81854,0.83974,0.021199999999999997,0.011539999999999995,0.0016934545454545082,True,False
vnwoodknot,p3_unsharp,42,47,0.8413,0.81153,0.8278,0.81153,0.8413,0.029770000000000074,0.016270000000000007,0.0010187272727272538,True,False
vnwoodknot,p3_unsharp,43,49,0.82979,0.76467,0.80977,0.82339,0.82979,0.006400000000000072,0.04510000000000003,0.004401636363636341,True,True
vnwoodknot,p3_unsharp,44,48,0.82128,0.7773,0.81827,0.79748,0.82128,0.023800000000000043,0.04097000000000006,0.005868242424242408,True,False
vnwoodknot,a1_crop,42,38,0.8228,0.78592,0.80037,0.8228,0.81097,-0.011830000000000007,0.014450000000000074,0.00798363636363629,True,True
vnwoodknot,a1_crop,43,50,0.84668,0.81904,0.84668,0.83541,0.84668,0.011270000000000002,0.027639999999999998,0.013518303030303025,True,False
vnwoodknot,a1_crop,44,36,0.83224,0.78025,0.81526,0.83224,0.81526,-0.016979999999999995,0.035009999999999986,0.013331151515151518,True,True
vnwoodknot,a2_colorjitter,42,44,0.82439,0.71316,0.80809,0.81652,0.82439,0.007869999999999933,0.09492999999999996,0.0024409090909090748,True,True
vnwoodknot,a2_colorjitter,43,49,0.83315,0.74724,0.81936,0.79034,0.83315,0.042809999999999904,0.07211999999999996,0.002310545454545403,True,False
vnwoodknot,a2_colorjitter,44,50,0.83379,0.79862,0.83379,0.82648,0.83379,0.007310000000000039,0.035170000000000035,0.003409878787878784,True,True
vnwoodknot,p4_a4_combined,42,28,0.84068,0.78704,0.78169,0.84068,0.82992,-0.010759999999999992,-0.005349999999999966,-0.002135757575757634,False,True
vnwoodknot,p4_a4_combined,43,38,0.81763,0.77605,0.78698,0.81763,0.80259,-0.015039999999999942,0.010929999999999995,0.008744303030303031,True,True
vnwoodknot,p4_a4_combined,44,49,0.85119,0.78974,0.8235,0.84176,0.85119,0.00943000000000005,0.03376000000000001,0.00797187878787877,True,True
vsb_rarefirst,baseline,42,41,0.82548,0.81701,0.82481,0.81701,0.82548,0.008469999999999978,0.007800000000000029,0.000458969696969665,False,True
vsb_rarefirst,baseline,43,46,0.83144,0.81896,0.82186,0.82364,0.83144,0.007799999999999918,0.0029000000000000137,-0.0002476363636364019,False,True
vsb_rarefirst,baseline,44,44,0.82856,0.81588,0.82723,0.82491,0.82856,0.003649999999999931,0.011349999999999971,0.00044430303030301287,False,True
vsb_rarefirst,p1_clahe,42,47,0.83372,0.81787,0.82505,0.81987,0.83372,0.013850000000000029,0.007179999999999964,0.0012590909090908983,True,False
vsb_rarefirst,p1_clahe,43,44,0.82327,0.80745,0.80703,0.81575,0.82327,0.007519999999999971,-0.00041999999999997595,-0.0006463030303030852,False,True
vsb_rarefirst,p1_clahe,44,45,0.82659,0.8177,0.8182,0.82565,0.82659,0.0009400000000000519,0.000500000000000056,0.0005279999999999697,False,True
vsb_rarefirst,p2_illumination,42,46,0.82155,0.8205,0.81496,0.8205,0.82155,0.0010499999999999954,-0.005539999999999989,-0.00022993939393942906,False,True
vsb_rarefirst,p2_illumination,43,42,0.81848,0.81471,0.81573,0.8156,0.81848,0.0028799999999999937,0.0010199999999999099,-0.0001857575757575958,False,True
vsb_rarefirst,p2_illumination,44,30,0.82417,0.8071,0.81743,0.82417,0.82056,-0.003610000000000002,0.01032999999999995,0.00038030303030297803,False,True
vsb_rarefirst,p3_unsharp,42,46,0.83199,0.81919,0.82948,0.8306,0.83199,0.0013900000000000023,0.010290000000000021,0.0005903636363636227,False,True
vsb_rarefirst,p3_unsharp,43,45,0.82408,0.82055,0.8176,0.82297,0.82408,0.0011100000000000554,-0.002950000000000008,0.000464969696969655,False,True
vsb_rarefirst,p3_unsharp,44,46,0.82547,0.81452,0.8226,0.82066,0.82547,0.004810000000000092,0.008079999999999976,0.0014084242424242288,True,True
