dataset,variant,variant_label,seed,num_defective_detections,d_ece,signed_gap,mean_confidence,empirical_precision
vnwoodknot,baseline,Baseline,42,1080,0.033082650744472634,-0.0234071938205657,0.1191853987720269,0.1425925925925926
vnwoodknot,baseline,Baseline,43,937,0.042757598686344093,-0.016684873746096757,0.14660221270000784,0.1632870864461046
vnwoodknot,baseline,Baseline,44,981,0.039491364178551536,-0.013176904774221586,0.14380576596991704,0.15698267074413863
vnwoodknot,p1_clahe,P1 CLAHE,42,1063,0.04214945912104002,-0.015089147935686265,0.1260209179156778,0.14111006585136407
vnwoodknot,p1_clahe,P1 CLAHE,43,913,0.043716412005606366,-0.03145569309590717,0.13393313494352327,0.16538882803943045
vnwoodknot,p1_clahe,P1 CLAHE,44,1154,0.03584529118119309,-0.009570632205567486,0.12301169015145158,0.13258232235701906
vnwoodknot,p2_illumination,P2 illumination,42,966,0.0430268710731012,-0.03378109038890847,0.1266743961535346,0.16045548654244307
vnwoodknot,p2_illumination,P2 illumination,43,1405,0.030034568091668858,-0.01238052263554331,0.0965162745174816,0.10889679715302492
vnwoodknot,p2_illumination,P2 illumination,44,1256,0.043162204345961096,-0.015198177524551656,0.10741328744360121,0.12261146496815287
vnwoodknot,p3_unsharp,P3 unsharp,42,1097,0.0369141928606676,-0.015614049717378124,0.12385723560623173,0.13947128532360983
vnwoodknot,p3_unsharp,P3 unsharp,43,1089,0.03833881784771391,-0.028153780946885205,0.11326036046725621,0.1414141414141414
vnwoodknot,p3_unsharp,P3 unsharp,44,1042,0.04276942752421013,-0.0176018473873006,0.12731178025185486,0.14491362763915547
vnwoodknot,a1_crop,A1 crop,42,885,0.0325311651712515,-0.014161908748233427,0.15080984266419595,0.16497175141242937
vnwoodknot,a1_crop,A1 crop,43,947,0.037938570682035114,-0.01621027843283692,0.13901675430211557,0.15522703273495247
vnwoodknot,a1_crop,A1 crop,44,1371,0.028788546471582098,-0.009075400202411465,0.09376923874726031,0.10284463894967177
vnwoodknot,a2_colorjitter,A2 colour jitter,42,1138,0.04323547811078412,-0.020442729940337596,0.11488240186985572,0.13532513181019332
vnwoodknot,a2_colorjitter,A2 colour jitter,43,1002,0.04310103432677813,-0.03399402740111244,0.11969858736934665,0.1536926147704591
vnwoodknot,a2_colorjitter,A2 colour jitter,44,999,0.04740849352750305,-0.026083192870102904,0.12807096128405124,0.15415415415415415
vnwoodknot,p4_a4_combined,P4+A4 combined,42,985,0.03713184754212912,-0.011924729293193388,0.1383290778134056,0.150253807106599
vnwoodknot,p4_a4_combined,P4+A4 combined,43,1012,0.02643909655339287,-0.015843872795122574,0.12842490190843472,0.1442687747035573
vnwoodknot,p4_a4_combined,P4+A4 combined,44,1055,0.041046266536166574,-0.016484969484143106,0.12664299260116496,0.14312796208530806
vsb_rarefirst,baseline,Baseline,42,7255,0.025728566650054747,-0.021619831924381272,0.13013757675928517,0.15175740868366644
vsb_rarefirst,baseline,Baseline,43,7359,0.022639240871385052,-0.020958152903761636,0.12933400635700748,0.15029215926076914
vsb_rarefirst,baseline,Baseline,44,7396,0.024696977716628706,-0.02153246844661288,0.128548656485783,0.1500811249323959
vsb_rarefirst,p1_clahe,P1 CLAHE,42,6836,0.026596247297856764,-0.021777726407139,0.1400127943652425,0.1617905207723815
vsb_rarefirst,p1_clahe,P1 CLAHE,43,6878,0.022227860248157327,-0.019098962044593718,0.14039507692022163,0.15949403896481534
vsb_rarefirst,p1_clahe,P1 CLAHE,44,7491,0.023372782772363918,-0.02096573792374603,0.12654460782448518,0.14751034574823121
vsb_rarefirst,p2_illumination,P2 illumination,42,8076,0.023105612077654318,-0.01851128989805473,0.11918063679832962,0.13769192669638436
vsb_rarefirst,p2_illumination,P2 illumination,43,7273,0.023795618113516666,-0.018918426602784453,0.1328758811106763,0.15179430771346075
vsb_rarefirst,p2_illumination,P2 illumination,44,7350,0.022895056053593783,-0.02094221310926044,0.1291258141016239,0.15006802721088436
vsb_rarefirst,p3_unsharp,P3 unsharp,42,6916,0.023699286957045165,-0.020809429429243645,0.1385312299114157,0.15934065934065933
vsb_rarefirst,p3_unsharp,P3 unsharp,43,7719,0.023353646446021458,-0.021586780080786894,0.12169602857318383,0.14328280865397072
vsb_rarefirst,p3_unsharp,P3 unsharp,44,7382,0.02436840656033115,-0.02041787274770827,0.1288641646405334,0.14928203738824167
vsb_rarefirst,a1_crop,A1 crop,42,16939,0.016202033394207605,-0.0011631621847030225,0.06536969099435123,0.06653285317905425
vsb_rarefirst,a1_crop,A1 crop,43,7748,0.017652791981915515,-0.008676631327029859,0.13290829381494226,0.14158492514197213
vsb_rarefirst,a1_crop,A1 crop,44,8744,0.018986793534743092,-0.008516062906412207,0.11865685566632339,0.12717291857273558
vsb_rarefirst,a2_colorjitter,A2 colour jitter,42,6894,0.025878299348000795,-0.021461833865391373,0.13896752499738785,0.16042935886277923
vsb_rarefirst,a2_colorjitter,A2 colour jitter,43,7283,0.024964780368641165,-0.021299796209163703,0.1312472311147413,0.152547027323905
vsb_rarefirst,a2_colorjitter,A2 colour jitter,44,11476,0.01387242918939225,-0.010812799691765284,0.08678218113779206,0.09759498082955734
vsb_rarefirst,p4_a4_combined,P4+A4 combined,42,8826,0.01657337452958844,-0.005076786294687559,0.12023479312974027,0.12531157942442783
vsb_rarefirst,p4_a4_combined,P4+A4 combined,43,15465,0.01273629859253503,-0.0012503886853491985,0.07110654632919979,0.07235693501454898
vsb_rarefirst,p4_a4_combined,P4+A4 combined,44,12523,0.011905566366887074,-0.0022705246991750333,0.08684550181204433,0.08911602651121936
