dataset,variant,seed,threshold,class_id,class_name,rank,confidence,cumulative_tp,cumulative_fp,precision,recall,n_targets_class
vnwoodknot,baseline,42,0.1,0,live_knot,1,0.6066207885742188,0,1,0.0,0.0,79
vnwoodknot,baseline,42,0.1,0,live_knot,2,0.605826735496521,1,1,0.5,0.012658227848101266,79
vnwoodknot,baseline,42,0.1,0,live_knot,3,0.6018770337104797,2,1,0.6666666666666666,0.02531645569620253,79
vnwoodknot,baseline,42,0.1,0,live_knot,4,0.5905590057373047,3,1,0.75,0.0379746835443038,79
vnwoodknot,baseline,42,0.1,0,live_knot,5,0.5703967809677124,4,1,0.8,0.05063291139240506,79
vnwoodknot,baseline,42,0.1,0,live_knot,6,0.5699538588523865,4,2,0.6666666666666666,0.05063291139240506,79
vnwoodknot,baseline,42,0.1,0,live_knot,7,0.5670651197433472,4,3,0.5714285714285714,0.05063291139240506,79
vnwoodknot,baseline,42,0.1,0,live_knot,8,0.5597268342971802,4,4,0.5,0.05063291139240506,79
vnwoodknot,baseline,42,0.1,0,live_knot,9,0.5552332401275635,5,4,0.5555555555555556,0.06329113924050633,79
vnwoodknot,baseline,42,0.1,0,live_knot,10,0.5524157881736755,6,4,0.6,0.0759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,11,0.5477097630500793,6,5,0.5454545454545454,0.0759493670886076,79
vnwoodknot,baseline,42,0.1,0,live_knot,12,0.5467925071716309,7,5,0.5833333333333334,0.08860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,13,0.5458853244781494,8,5,0.6153846153846154,0.10126582278481013,79
vnwoodknot,baseline,42,0.1,0,live_knot,14,0.5441068410873413,9,5,0.6428571428571429,0.11392405063291139,79
vnwoodknot,baseline,42,0.1,0,live_knot,15,0.5425631999969482,9,6,0.6,0.11392405063291139,79
vnwoodknot,baseline,42,0.1,0,live_knot,16,0.537600576877594,9,7,0.5625,0.11392405063291139,79
vnwoodknot,baseline,42,0.1,0,live_knot,17,0.5364314913749695,10,7,0.5882352941176471,0.12658227848101267,79
vnwoodknot,baseline,42,0.1,0,live_knot,18,0.5338678359985352,11,7,0.6111111111111112,0.13924050632911392,79
