dataset,variant,seed,selected_threshold,n_retained,endpoint_precision,endpoint_recall,retained_mAP50,rank_precision_mean,rank_precision_min,rank_precision_max,rank_precision_variance,micro_endpoint_p_times_r,macro_class_endpoint_p_times_r,ap_minus_micro_p_times_r,ap_minus_macro_p_times_r,micro_relation_within_0p02,macro_relation_within_0p02
vnwoodknot,baseline,42,0.1,288,0.5,0.9290322580645162,0.7759632625972066,0.7266093713917892,0.0,1.0,0.02732046843788448,0.4645161290322581,0.46663008974409215,0.3114471335649485,0.30933317285311446,False,False
vnwoodknot,baseline,43,0.1,296,0.5,0.9548387096774194,0.8361355714879386,0.7651666215891009,0.4578313253012048,1.0,0.02532160626962968,0.4774193548387097,0.48257084094076297,0.3587162166492289,0.35356473054717563,False,False
vnwoodknot,baseline,44,0.1,305,0.47540983606557374,0.9354838709677419,0.7977907731334346,0.7194828573813267,0.0,1.0,0.0339140367363586,0.44473823373876253,0.45210854252448673,0.35305253939467207,0.34568223060894787,False,False
vnwoodknot,p1_clahe,42,0.1,299,0.4782608695652174,0.9225806451612903,0.7906668575500433,0.7243611369876681,0.0,1.0,0.028406867817284256,0.441234221598878,0.44460809581933214,0.3494326359511653,0.34605876173071115,False,False
vnwoodknot,p1_clahe,43,0.1,260,0.5346153846153846,0.896774193548387,0.7643876335905264,0.7584165760105248,0.4794520547945205,1.0,0.021105262838899137,0.4794292803970223,0.48717308504255996,0.2849583531935041,0.27721454854796646,False,False
vnwoodknot,p1_clahe,44,0.1,311,0.47266881028938906,0.9483870967741935,0.812695382476764,0.7363115726619516,0.43258426966292135,1.0,0.027515796034948897,0.44827300072606574,0.45319865605070697,0.36442238175069824,0.359496726426057,False,False
vnwoodknot,p2_illumination,42,0.15,227,0.6299559471365639,0.9225806451612903,0.845289987154801,0.8523811006870338,0.584,1.0,0.014341190152806037,0.5811851641324428,0.5858702564303535,0.26410482302235816,0.25941973072444746,False,False
vnwoodknot,p2_illumination,43,0.15,276,0.5,0.8903225806451613,0.7767300434617118,0.763730305750656,0.46357615894039733,1.0,0.02338329479531651,0.44516129032258067,0.44875026362116205,0.33156875313913114,0.32797977984054977,False,False
vnwoodknot,p2_illumination,44,0.15,267,0.5393258426966292,0.9290322580645162,0.8314746072978407,0.798528261343572,0.48344370860927155,1.0,0.02244295879894586,0.5010511054729975,0.5083350230281262,0.33042350182484326,0.32313958426971456,False,False
vnwoodknot,p3_unsharp,42,0.05,361,0.40166204986149584,0.9354838709677419,0.8053329253981019,0.6875446503577648,0.35436893203883496,1.0,0.035272542961584434,0.3757483692252703,0.3837613738246952,0.4295845561728316,0.42157155157340664,False,False
vnwoodknot,p3_unsharp,43,0.05,322,0.45652173913043476,0.9483870967741935,0.8549015034395475,0.7553071045459437,0.43258426966292135,1.0,0.03180060098162762,0.43295932678821875,0.43468334364689043,0.42194217665132877,0.4202181597926571,False,False
vnwoodknot,p3_unsharp,44,0.05,355,0.4084507042253521,0.9354838709677419,0.7983964960443718,0.6788091358587709,0.25,1.0,0.03586682458202345,0.3820990458882326,0.3864508690271614,0.41629745015613917,0.4119456270172104,False,False
vnwoodknot,a1_crop,42,0.25,198,0.6565656565656566,0.8387096774193549,0.7628298559063997,0.8608927114912346,0.6086956521739131,1.0,0.012922244172526264,0.5506679700228088,0.555027222989807,0.21216188588359097,0.20780263291659273,False,False
vnwoodknot,a1_crop,43,0.25,198,0.6717171717171717,0.8580645161290322,0.7812114943328694,0.8634862802233977,0.603448275862069,1.0,0.012784445712763184,0.576376669925057,0.5857876008088805,0.20483482440781242,0.19542389352398892,False,False
vnwoodknot,a1_crop,44,0.25,198,0.6565656565656566,0.8387096774193549,0.7581634214421005,0.8498582709796267,0.5882352941176471,1.0,0.01408528538557171,0.5506679700228088,0.560410706587765,0.2074954514192917,0.19775271485433543,False,False
vnwoodknot,a2_colorjitter,42,0.05,397,0.3778337531486146,0.967741935483871,0.789144764990918,0.6397782874848195,0.33189655172413796,1.0,0.03767004053436734,0.36564556756317546,0.374227117484199,0.42349919742774256,0.414917647506719,False,False
vnwoodknot,a2_colorjitter,43,0.05,317,0.45425867507886436,0.9290322580645162,0.804644306967927,0.7298758891141585,0.4397590361445783,1.0,0.0283884991981617,0.4220209626539127,0.4228120838933251,0.3826233443140143,0.3818322230746019,False,False
vnwoodknot,a2_colorjitter,44,0.05,339,0.4336283185840708,0.9483870967741935,0.8333547222695729,0.7202801943601154,0.4143646408839779,1.0,0.032518843046563,0.41124750214102196,0.4125481723050195,0.4221072201285509,0.42080654996455336,False,False
vnwoodknot,p4_a4_combined,42,0.7,56,0.9642857142857143,0.34838709677419355,0.35,0.9984977324263039,0.9444444444444444,1.0,6.74350900602116e-05,0.3359447004608295,0.33783958842253314,0.014055299539170452,0.012160411577466834,True,True
vnwoodknot,p4_a4_combined,43,0.7,47,0.9574468085106383,0.2903225806451613,0.2896138211382114,0.9639481257999511,0.5,1.0,0.009297293708483437,0.27796842827728213,0.2831107175162358,0.011645392860929249,0.006503103621975592,True,True
vnwoodknot,p4_a4_combined,44,0.7,39,0.9743589743589743,0.24516129032258063,0.24500000000000005,0.9619556645906533,0.8888888888888888,1.0,0.0008820369504712123,0.2388751033912324,0.2430991951311738,0.006124896608767638,0.0019008048688262391,True,True
vsb_rarefirst,baseline,42,0.85,110,0.9454545454545454,0.0886615515771526,0.08834612408183858,0.9827010884857955,0.9148936170212766,1.0,0.0006993741088665618,0.08382546694567154,0.08625153685288273,0.004520657136167033,0.0020945872289558493,True,True
vsb_rarefirst,baseline,43,0.85,115,0.9478260869565217,0.09292412617220801,0.09604714716615087,0.9408658327632613,0.0,1.0,0.012032335961740573,0.08807591089365802,0.09589474668576538,0.007971236272492854,0.00015240048038549225,True,True
vsb_rarefirst,baseline,44,0.85,112,0.9642857142857143,0.09207161125319693,0.09560345309690353,0.9870375082850319,0.9387755102040817,1.0,0.00038397906033208075,0.08878333942272562,0.09510451264836364,0.006820113674177911,0.0004989404485398891,True,True
vsb_rarefirst,p1_clahe,42,0.8,286,0.9265734265734266,0.2259164535379369,0.2707109191901828,0.9743712299287559,0.875,1.0,0.0014792599165373882,0.2093281824739625,0.2567409861625542,0.0613827367162203,0.013969933027628612,False,True
vsb_rarefirst,p1_clahe,43,0.8,272,0.9375,0.21739130434782608,0.24490558447330943,0.9452313170929999,0.8,1.0,0.002483935883882945,0.20380434782608695,0.23834517710121603,0.04110123664722248,0.006560407372093402,False,True
vsb_rarefirst,p1_clahe,44,0.8,244,0.9344262295081968,0.19437340153452684,0.22072039499065202,0.9787970372368696,0.8181818181818182,1.0,0.0011455847310060845,0.18162760471259065,0.21145144439315589,0.03909279027806137,0.009268950597496134,False,True
vsb_rarefirst,p2_illumination,42,0.75,320,0.95,0.2591645353793691,0.2888343957685,0.9655564966041295,0.5,1.0,0.0026598826712958216,0.24620630861040066,0.2848518556742209,0.04262808715809935,0.003982540094279119,False,True
vsb_rarefirst,p2_illumination,43,0.75,417,0.9400479616306955,0.33418584825234443,0.3845446205046747,0.9563812130725408,0.6666666666666666,1.0,0.003100362332858778,0.3141507254554413,0.3698825133723478,0.07039389504923338,0.014662107132326907,False,True
vsb_rarefirst,p2_illumination,44,0.75,393,0.9363867684478372,0.3137254901960784,0.34736174526865443,0.9534082414258804,0.6666666666666666,1.0,0.002881318952935321,0.2937683979444195,0.33457925320733733,0.05359334732423493,0.012782492061317097,False,True
vsb_rarefirst,p3_unsharp,42,0.8,314,0.9490445859872612,0.25404944586530265,0.2897368160846485,0.9747379749588665,0.9090909090909091,1.0,0.001009895300828468,0.24110425117152925,0.2826932894800267,0.048632564913119264,0.007043526604621819,False,True
vsb_rarefirst,p3_unsharp,43,0.8,250,0.944,0.20119352088661552,0.22789442485269804,0.9621145852563026,0.6666666666666666,1.0,0.0041316707634275925,0.18992668371696503,0.22067410709466898,0.03796774113573301,0.00722031775802906,False,True
vsb_rarefirst,p3_unsharp,44,0.8,267,0.9325842696629213,0.21227621483375958,0.24685433437615312,0.9621127805246408,0.6666666666666666,1.0,0.002619740058730036,0.19796545877755106,0.23642886298202337,0.048888875598602055,0.010425471394129748,False,True
vsb_rarefirst,a1_crop,42,0.8,145,0.9586206896551724,0.1184995737425405,0.14707162262115822,0.9900451230219784,0.9056603773584906,1.0,0.00040298882812855207,0.11359614310491814,0.14503774086434423,0.03347547951624008,0.0020338817568139878,False,True
vsb_rarefirst,a1_crop,43,0.8,342,0.9298245614035088,0.2710997442455243,0.31134351080996603,0.9571827567031757,0.6666666666666666,1.0,0.0029903881801716077,0.25207520078969803,0.3015901072521218,0.059268310020268,0.009753403557844209,False,True
vsb_rarefirst,a1_crop,44,0.8,282,0.9397163120567376,0.2259164535379369,0.24558859938541489,0.9764998718461113,0.8333333333333334,1.0,0.0014253586703697567,0.21229737655160738,0.23653298106477452,0.033291222833807504,0.009055618320640363,False,True
vsb_rarefirst,a2_colorjitter,42,0.8,263,0.9429657794676806,0.21142369991474852,0.23682395942737194,0.9701414101581796,0.8571428571428571,1.0,0.0014063633279739925,0.19936531398805182,0.23047379465038834,0.03745864543932012,0.006350164776983608,False,True
vsb_rarefirst,a2_colorjitter,43,0.8,274,0.9233576642335767,0.21568627450980393,0.25023447653609493,0.9566156553175349,0.7692307692307693,1.0,0.0019664356565466056,0.19915557463861458,0.23602143122327876,0.05107890189748035,0.01421304531281617,False,True
vsb_rarefirst,a2_colorjitter,44,0.8,168,0.9702380952380952,0.13895993179880647,0.16204584574644157,0.9776531259248699,0.8888888888888888,1.0,0.0014596229474440495,0.13482421954288962,0.16365971749160668,0.027221626203551952,-0.001613871745165113,False,True
vsb_rarefirst,p4_a4_combined,42,0.8,295,0.9288135593220339,0.23358908780903667,0.26181145715768206,0.9556227749955813,0.5,1.0,0.0033399002703258717,0.21696071206669848,0.2526835250194491,0.04485074509098358,0.009127932138232986,False,True
vsb_rarefirst,p4_a4_combined,43,0.8,182,0.9560439560439561,0.1483375959079284,0.1857558963055588,0.9816605023483118,0.9,1.0,0.0007931157473083136,0.14181726202186562,0.1837018396902637,0.043938634283693184,0.002054056615295091,False,True
vsb_rarefirst,p4_a4_combined,44,0.8,209,0.9473684210526315,0.16879795396419436,0.20839900645802287,0.9808127006330946,0.9041095890410958,1.0,0.0008737204387330133,0.1599138511239736,0.2027219242479793,0.04848515533404926,0.005677082210043566,False,True
